id;idno;author;group
tc0093;tc0093;Boyer;contemporaries
tc0094;tc0094;Boyer;contemporaries
tc0096;tc0096;Boyer;contemporaries
tc0098;tc0098;Boyer;contemporaries
tc0101;tc0101;Boyer;contemporaries
tc0113;tc0113;Campistron;contemporaries
tc0114;tc0114;Campistron;contemporaries
tc0115;tc0115;Campistron;contemporaries
tc0116;tc0116;Campistron;contemporaries
tc0117;tc0117;Campistron;contemporaries
tc0118;tc0118;Campistron;contemporaries
tc0163;tc0163;CorneilleP;contemporaries
tc0165;tc0165;CorneilleP;contemporaries
tc0196;tc0196;CorneilleP;contemporaries
tc0189;tc0189;CorneilleP;contemporaries
tc0190;tc0190;CorneilleP;contemporaries
tc0193;tc0193;CorneilleP;contemporaries
tc0200;tc0200;CorneilleT;contemporaries
tc0203;tc0203;CorneilleT;contemporaries
tc0204;tc0204;CorneilleT;contemporaries
tc0206;tc0206;CorneilleT;contemporaries
tc0207;tc0207;CorneilleT;contemporaries
tc0219;tc0219;CorneilleT;contemporaries
tc0222;tc0222;CorneilleT;contemporaries
tc0221;tc0221;CorneilleT;contemporaries
tc0224;tc0224;CorneilleT;contemporaries
tc0225;tc0225;CorneilleT;contemporaries
tc0226;tc0226;CorneilleT;contemporaries
tc0227;tc0227;CorneilleT;contemporaries
tc0629;tc0629;Pradon;contemporaries
tc0630;tc0630;Pradon;contemporaries
tc0631;tc0631;Pradon;contemporaries
tc0632;tc0632;Pradon;contemporaries
tc0628;tc0628;Pradon;contemporaries
tc0636;tc0636;Quinault;contemporaries
tc0637;tc0637;Quinault;contemporaries
tc0645;tc0645;Quinault;contemporaries
tc0648;tc0648;Quinault;contemporaries
tc0649;tc0649;Racine;Racine
tc0651;tc0651;Racine;Racine
tc0653;tc0653;Racine;Racine
tc0654;tc0654;Racine;Racine
tc0655;tc0655;Racine;Racine
tc0656;tc0656;Racine;Racine
tc0657;tc0657;Racine;Racine
tc0658;tc0658;Racine;Racine
tc0659;tc0659;Racine;Racine
tc0661;tc0661;Racine;Racine
tc0664;tc0664;Racine;Racine
