	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
ennemi	0.64	0.3072916666666667	0.33999999999999997	0.14062500000000003	0.36	0.6927083333333333	0.1818181818181818	0.33270833333333333	0.33270833333333333	-0.0005597083495481048	0.13972215989674122	-0.12374136248549425	-0.11875287149433968	-0.3539583331545672	0.026708745493451536	-0.3539583328352711	0.11231291625366036	-0.3539583333296919	-0.17839571070272975
sévère	0.54	0.22916666666666666	0.2333333333333333	0.09027777777777778	0.45999999999999996	0.7708333333333333	0.11983471074380164	0.3108333333333334	0.3296585171682461	-0.01861933562502696	0.1047067235233387	-0.11613507490241587	-0.106108116690351	-0.3539583331310788	0.06256936557318432	-0.35395833280090255	0.09710929455635431	-0.35395833332915194	-0.16652949761417535
infortuné	0.52	0.22916666666666666	0.2	0.10416666666666664	0.48000000000000004	0.7708333333333333	0.12396694214876033	0.2908333333333334	0.3116153277655793	-0.03376180978942354	0.06832505711813285	-0.10918075482645848	-0.09928056972345811	-0.35395833313856967	0.049395910393766285	-0.3539583329378133	0.00519983997621698	-0.35395833332897014	-0.1606338726787978
étranger	0.34	0.08333333333333333	0.17333333333333334	0.034722222222222224	0.66	0.9166666666666667	0.06336088154269973	0.2566666666666667	0.30931227093293273	-0.020044509664028987	0.10643607374119586	-0.09730045803003133	-0.08168679926728892	-0.35395833298313334	0.19322124659090462	-0.3539583323049813	0.19704376982606586	-0.3539583333282884	-0.14405670202268983
superbe	0.44	0.20833333333333334	0.24666666666666667	0.10416666666666667	0.56	0.7916666666666666	0.13360881542699726	0.23166666666666666	0.26037479770499256	-0.01879748237990221	0.10308001562934466	-0.08860755793508457	-0.07874360027894622	-0.35395833315205333	0.02227366452530999	-0.3539583328455253	0.07807833606094594	-0.35395833332837695	-0.14254679339076282
jeune	0.52	0.3020833333333333	0.2933333333333333	0.14930555555555555	0.48	0.6979166666666666	0.1790633608815427	0.2179166666666667	0.2330801867618647	-0.018307578803995285	0.10038626856910596	-0.0838264628828639	-0.07797346901654115	-0.3539583331855816	-0.032453763152218706	-0.35395833292861517	0.03515342426073431	-0.3539583333285143	-0.14267936802639059
éternel	0.54	0.328125	0.34	0.16319444444444442	0.45999999999999996	0.671875	0.1997245179063361	0.21187500000000004	0.22406148825744301	-0.00779692026635527	0.12195598830879004	-0.08172567869325179	-0.07698128011328925	-0.3539583331920762	-0.044455534518144435	-0.353958332904152	0.06221405825571702	-0.3539583333285361	-0.14202736775817093
homicide	0.2	0.005208333333333333	0.07333333333333333	0.001736111111111111	0.8	0.9947916666666665	0.01652892561983471	0.19479166666666667	0.2593484706858222	-0.0415334619708565	0.05490814956917675	-0.07578553029503811	-0.06103539794693597	-0.35395833003733335	0.3327083333333332	-0.35395832463189336	0.09644510638003012	-0.35395833332769855	-0.12568972100074227
perfide	0.46	0.265625	0.26666666666666666	0.140625	0.54	0.734375	0.16666666666666666	0.19437500000000002	0.21632631990197906	-0.024075079993081616	0.08821427982611399	-0.07564064862678906	-0.0687570989371662	-0.35395833318469017	-0.03258197638849886	-0.3539583329426963	0.01924631188050685	-0.3539583333281811	-0.13419504518552283
content	0.48	0.2864583333333333	0.21333333333333332	0.12152777777777779	0.52	0.7135416666666666	0.14049586776859505	0.19354166666666667	0.21279519166130045	-0.03505337376226915	0.06427444983483988	-0.07535088529029083	-0.06921154813175698	-0.35395833318950787	-0.04087227345682726	-0.35395833297171503	-0.014006164862123027	-0.35395833332822707	-0.13475907747669957
sacré	0.32	0.13020833333333334	0.21999999999999997	0.0625	0.6799999999999999	0.8697916666666665	0.09504132231404958	0.18979166666666666	0.23161912056552666	-0.013987519998270366	0.11807287555802784	-0.07404695027604881	-0.0630260431137542	-0.35395833312238933	0.04851198535175111	-0.3539583326082133	0.1709219341141367	-0.3539583333278554	-0.12818790681016712
libre	0.4	0.21875	0.18	0.09201388888888888	0.6000000000000001	0.78125	0.11019283746556473	0.18125000000000002	0.21001370392447594	-0.03627813270203651	0.06304241676100679	-0.071076876076942	-0.06302270870086277	-0.3539583331763809	-0.020852473363669688	-0.35395833293035067	0.0026211863945571068	-0.35395833332795207	-0.12876771707140888
prêt	0.78	0.5989583333333334	0.6066666666666667	0.3541666666666667	0.22	0.40104166666666674	0.40633608815426997	0.18104166666666666	0.16953913398916043	0.01647557508539807	0.15064224039559201	-0.0710044352428175	-0.07761107476730572	-0.35395833322155595	-0.10468175149822856	-0.3539583329804674	0.011124537956144764	-0.35395833332948956	-0.1452019450134031
farouche	0.26	0.08333333333333333	0.12	0.03819444444444444	0.7399999999999999	0.9166666666666665	0.05509641873278238	0.1766666666666667	0.2252607383831113	-0.03826001535002371	0.06126054230279407	-0.0694831777262018	-0.05786264646187939	-0.3539583330655333	0.08948782396039795	-0.35395833268611876	0.052816658932959726	-0.3539583333276769	-0.12338139483677191
odieux	0.56	0.3854166666666667	0.3066666666666667	0.18923611111111108	0.44	0.6145833333333335	0.21349862258953167	0.17458333333333337	0.18404684751870518	-0.026836354693648028	0.0787673285956799	-0.0687587693849563	-0.06628103856920742	-0.3539583332086198	-0.07725272987221798	-0.3539583329994999	-0.02130507772891166	-0.35395833332831694	-0.1328962079640107
funeste	0.78	0.609375	0.6000000000000001	0.48611111111111105	0.22	0.3906250000000001	0.5096418732782368	0.17062500000000003	0.16055071060572582	-0.027972040255977743	0.06119688256652894	-0.06738239353658973	-0.07387878121012267	-0.35395833322346665	-0.10883025485865966	-0.3539583330790705	-0.09532654816436581	-0.3539583333293871	-0.14184733122810278
impuissant	0.3	0.13020833333333334	0.11333333333333334	0.050347222222222224	0.7	0.8697916666666665	0.06336088154269973	0.16979166666666665	0.2107605937164052	-0.04429473667142293	0.045394703320345474	-0.06709263020009143	-0.05703765468109463	-0.35395833313557334	0.027596078104484056	-0.3539583328696202	-0.006923062393247803	-0.35395833332769433	-0.12292625621026176
