	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
mère	0.74	0.17708333333333334	0.8533333333333334	0.12673611111111113	0.26000000000000006	0.8229166666666665	0.2768595041322314	0.5629166666666666	0.5629166666666667	0.3886933750031955	0.5629166666666667	-0.16809280163167706	-0.15524408347309038	-0.3727083330075157	0.46507371261172625	-0.372708333028509	0.3810922356014248	-0.37270833333031694	-0.21615249541620207
pensée	0.66	0.21875	0.37999999999999995	0.08680555555555555	0.33999999999999997	0.7812499999999999	0.14738292011019283	0.44125000000000003	0.44576503973008696	0.23941721310427683	0.2667841318158663	-0.11044906284066539	-0.09750510065870449	-0.3727083330980905	0.28767356537803446	-0.3727083331351499	0.11570510637025211	-0.3727083333291784	-0.17003431146797088
an	0.6	0.18229166666666666	0.3066666666666667	0.09027777777777778	0.4	0.8177083333333333	0.1349862258953168	0.41770833333333335	0.4355887615109725	0.21296320972978494	0.20166901330804624	-0.09929539420473332	-0.08171112000300129	-0.3727083330767048	0.3235020114115461	-0.37270833317954727	0.026954857872978133	-0.37270833332866316	-0.15611283770370565
pas	0.84	0.4375	0.6333333333333334	0.234375	0.15999999999999998	0.5625	0.3168044077134986	0.40249999999999997	0.3599192556019501	0.27584528465884395	0.31622753859595315	-0.09208992685585693	-0.10474752166962634	-0.3727083331836334	0.08951520296566717	-0.3727083332109979	0.012940767336958703	-0.3727083333306177	-0.18123701347921561
larme	0.78	0.3802083333333333	0.5666666666666667	0.2309027777777778	0.21999999999999997	0.6197916666666667	0.30027548209366395	0.3997916666666667	0.3699556681173098	0.2540793325152746	0.2718625809106555	-0.09080676143756389	-0.09551736521166285	-0.3727083331733799	0.1167457149164175	-0.3727083332222293	-0.019270564436250026	-0.3727083333299445	-0.17201511134784842
discours	0.76	0.3645833333333333	0.6466666666666668	0.2152777777777778	0.23999999999999996	0.6354166666666665	0.3044077134986226	0.3954166666666667	0.36982830033385805	0.287015284275379	0.3429784578070543	-0.08873395576185958	-0.09114048423079238	-0.37270833317080193	0.12334442574604243	-0.3727083331973416	0.047420534716986706	-0.37270833332972736	-0.16794150484985249
silence	0.76	0.3802083333333333	0.40666666666666673	0.18923611111111108	0.23999999999999996	0.6197916666666666	0.23415977961432508	0.3797916666666667	0.35358921633683366	0.21332198916072292	0.18811507195132304	-0.0813310783486304	-0.0845356324567634	-0.3727083331774813	0.10599366121719656	-0.37270833323604385	-0.06592010696217437	-0.37270833332963643	-0.16267588244548903
aïeux	0.46	0.08333333333333333	0.23333333333333334	0.029513888888888888	0.5399999999999999	0.9166666666666665	0.07162534435261708	0.3766666666666667	0.42697514042592	0.20863393792980026	0.20028601426890066	-0.07985050286598452	-0.05329184120198907	-0.37270833290294586	0.5236385132574592	-0.37270833297541683	0.1353492389938612	-0.3727083333277092	-0.13053097433392358
pied	0.74	0.3697916666666667	0.42000000000000004	0.16493055555555552	0.26	0.6302083333333333	0.21763085399449036	0.3702083333333333	0.34785271221007724	0.2262858859319477	0.22185151607379258	-0.07679064686851644	-0.07812646328624931	-0.372708333177308	0.10636632993196293	-0.3727083332180466	-0.020716422854344996	-0.37270833332939457	-0.15697181152407091
frère	0.78	0.4114583333333333	0.8466666666666667	0.6805555555555555	0.22000000000000003	0.5885416666666666	0.7148760330578512	0.3685416666666667	0.33798552227205936	0.1956461225298463	0.10735013049118136	-0.07600100661110532	-0.08212570388686355	-0.3727083331855283	0.08464837794045288	-0.3727083332770111	-0.1892724914652149	-0.37270833332976455	-0.16131597661537178
