	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
reconnaître	0.74	0.3072916666666667	0.4000000000000001	0.12326388888888888	0.26	0.6927083333333334	0.1804407713498623	0.4327083333333333	0.4286317900953468	0.27437054342883127	0.35712657079415644	-0.16283787407251119	-0.1607366517726277	-0.39979166649960224	0.1120943177186996	-0.3997916662982774	0.37549480857902506	-0.3997916666634782	-0.22608390537941325
fermer	0.54	0.15104166666666666	0.2333333333333333	0.057291666666666664	0.46	0.8489583333333333	0.09366391184573004	0.3889583333333334	0.43270833333333336	0.252412835379718	0.3091689469554214	-0.14439447286985263	-0.1258865832828008	-0.39979166641863906	0.25850126148642594	-0.39979166620431955	0.3553931374978392	-0.3997916666620638	-0.19399235465656683
marcher	0.56	0.1875	0.3	0.078125	0.43999999999999995	0.8125	0.12396694214876033	0.37250000000000005	0.40688461157583616	0.2624073783537971	0.3329762225793612	-0.13745624098885256	-0.12200066756398753	-0.3997916664594667	0.18837217626304537	-0.39979166623073936	0.3946100991173688	-0.39979166666206634	-0.1913013025822634
rappeler	0.54	0.203125	0.3133333333333333	0.09201388888888887	0.46	0.7968749999999999	0.1377410468319559	0.33687500000000004	0.36927260394346256	0.26228623237835375	0.33125210278308514	-0.12243804286668772	-0.10828581533480136	-0.3997916664822359	0.14101387908682872	-0.39979166628008966	0.3555342897694521	-0.3997916666617629	-0.17988700183644912
pleurer	0.54	0.203125	0.36	0.10590277777777778	0.45999999999999996	0.7968749999999999	0.15840220385674933	0.33687500000000004	0.36927260394346256	0.2694338449295134	0.3473304551854514	-0.12243804286668775	-0.10828581533480136	-0.3997916664822359	0.14101387908682872	-0.39979166628076385	0.37984820736397573	-0.3997916666617629	-0.17988700183644912
courir	0.84	0.5104166666666666	0.6666666666666666	0.3125	0.15999999999999998	0.48958333333333337	0.38567493112947654	0.32958333333333334	0.3012531511577251	0.29125526375625277	0.37235078005379363	-0.1193641426662447	-0.1322225849594174	-0.3997916665524952	-0.023918660960292437	-0.3997916664244848	0.2040328285381	-0.39979166666389043	-0.2058871906006089
présenter	0.52	0.19270833333333334	0.3133333333333333	0.08333333333333333	0.48	0.8072916666666665	0.13085399449035812	0.32729166666666665	0.3626716430399901	0.2641791382446566	0.33687451593297446	-0.11839805974610537	-0.10356674403063662	-0.3997916664794667	0.14467927264285751	-0.3997916662398212	0.3957971842862309	-0.39979166666161575	-0.17570292666261988
conduire	0.68	0.3541666666666667	0.40666666666666673	0.17708333333333334	0.32	0.6458333333333333	0.22451790633608815	0.32583333333333336	0.3261140024293277	0.26408827876307406	0.32741668348565633	-0.11778327970601676	-0.11546793865821828	-0.39979166653346665	0.027598636408652566	-0.39979166640596503	0.21727054902709086	-0.3997916666624576	-0.18843670011724778
compter	0.44	0.11458333333333333	0.22000000000000003	0.04687499999999999	0.56	0.8854166666666665	0.08264462809917356	0.3254166666666667	0.3808595508265962	0.25177681900864024	0.3083930124191285	-0.11760762826599142	-0.09755743260902607	-0.39979166640026664	0.26278067146396134	-0.39979166613386663	0.38203760600093506	-0.3997916666612939	-0.1695152356471088
respirer	0.5	0.17708333333333334	0.24666666666666662	0.06770833333333333	0.5	0.8229166666666666	0.10468319559228649	0.32291666666666663	0.36226440445898883	0.2530488517507957	0.3099302767859613	-0.11655371962583955	-0.10069477097365438	-0.3997916664707843	0.15940095511577146	-0.39979166625309465	0.3320232227067965	-0.3997916666615052	-0.17302812504724774
poursuivre	0.52	0.20833333333333334	0.2266666666666666	0.09548611111111112	0.48000000000000004	0.7916666666666666	0.12258953168044076	0.31166666666666665	0.34398625445024533	0.24263029786266477	0.2803350127093924	-0.11181113074515592	-0.0982216580354891	-0.39979166649350667	0.11567463832208247	-0.39979166639718433	0.17356636264211822	-0.39979166666151605	-0.1713371678206913
troubler	0.78	0.4739583333333333	0.58	0.2881944444444444	0.22	0.5260416666666667	0.34848484848484856	0.3060416666666667	0.2880073801510865	0.277656628012733	0.34700882605529354	-0.10943983630481419	-0.116729666095784	-0.3997916665524952	-0.023590408928583495	-0.39979166643819875	0.17288635233085592	-0.39979166666311394	-0.19161880723198288
charger	0.54	0.25	0.3266666666666666	0.09895833333333333	0.46	0.7499999999999998	0.14600550964187325	0.29000000000000004	0.31431181517358964	0.26367941109595266	0.3340066796124337	-0.10267725586383926	-0.09202690309550432	-0.39979166651681664	0.06504422790723685	-0.39979166629192214	0.35021119475177054	-0.39979166666145644	-0.1665527838757589
embrasser	0.48	0.19270833333333334	0.24666666666666667	0.07465277777777778	0.52	0.8072916666666666	0.11019283746556474	0.2872916666666666	0.3237889060896761	0.2515345270577535	0.3053690114642026	-0.10153552150367477	-0.08732138229701614	-0.39979166649386666	0.11105551199933505	-0.3997916662915664	0.2987313811576163	-0.39979166666119487	-0.16173929918543617
retourner	0.34	0.057291666666666664	0.14666666666666664	0.020833333333333332	0.66	0.9427083333333334	0.04683195592286501	0.28270833333333334	0.3515890226190623	0.24146426784902222	0.2820921653675757	-0.09960335566339629	-0.07803252248350219	-0.39979166625495755	0.3577525293951188	-0.3997916658674667	0.3381782914403709	-0.3997916666607193	-0.1521911242919507
séparer	0.54	0.265625	0.2666666666666666	0.10416666666666667	0.45999999999999996	0.734375	0.13774104683195593	0.27437500000000004	0.296414857388856	0.2494599022282855	0.29762039104339044	-0.09609032686288992	-0.08651558402065004	-0.39979166652563136	0.04402518763370289	-0.39979166637604846	0.21981822583535615	-0.3997916666613456	-0.16196518837213247
offenser	0.62	0.3489583333333333	0.34666666666666673	0.16666666666666666	0.38	0.6510416666666666	0.20385674931129474	0.2710416666666667	0.27836696107462405	0.2532760004547521	0.3024562066547715	-0.09468511534268732	-0.09051222764696577	-0.399791666543407	0.0008176611607432216	-0.39979166643053937	0.16367116344148602	-0.39979166666170834	-0.16658180425039704
retenir	0.68	0.4114583333333333	0.4666666666666667	0.19444444444444442	0.32	0.5885416666666667	0.2506887052341598	0.26854166666666673	0.26601691127098526	0.27338623237835374	0.3470694171193983	-0.09363120670253545	-0.09378686499426786	-0.3997916665520135	-0.022142684209128072	-0.3997916663942121	0.2472263497226045	-0.39979166666204785	-0.17036786276516325
confier	0.42	0.16145833333333334	0.1933333333333333	0.06597222222222221	0.58	0.8385416666666665	0.09228650137741046	0.25854166666666667	0.30163705522626477	0.24179741928149154	0.2799895864107886	-0.08941557214192772	-0.07425043932916939	-0.3997916664862021	0.11831710330991396	-0.39979166633398533	0.21688205721787435	-0.3997916666607909	-0.1500632704944469
revenir	0.5	0.24479166666666666	0.21333333333333335	0.140625	0.5	0.7552083333333333	0.15564738292011018	0.25520833333333337	0.2819208750761172	0.2298796839472487	0.2440542549628822	-0.08801036062172518	-0.07740264912251993	-0.3997916665249645	0.043690390694604786	-0.39979166649444847	0.023390979370951248	-0.39979166666104243	-0.15375141920723778
nourrir	0.4	0.14583333333333334	0.2	0.059027777777777776	0.6000000000000001	0.8541666666666665	0.0881542699724518	0.25416666666666665	0.3004217721614223	0.24476549567985442	0.28853995956827844	-0.08757123202166182	-0.07177699433466156	-0.3997916664763809	0.13280565282350265	-0.39979166628202495	0.2652072056902949	-0.3997916666606995	-0.1477518078823169
tourmenter	0.28	0.026041666666666668	0.09333333333333332	0.008680555555555556	0.72	0.9739583333333335	0.026170798898071623	0.25395833333333334	0.32797187921093884	0.23248432241928144	0.256844462069146	-0.08748340630164933	-0.0661154066857477	-0.39979166592074666	0.43270833333333325	-0.3997916654460703	0.2348061345411644	-0.3997916666603868	-0.14168198629183226
écarter	0.34	0.08854166666666667	0.13999999999999999	0.03645833333333333	0.66	0.9114583333333335	0.05785123966942148	0.25145833333333334	0.31015064401886006	0.23660328558435648	0.26731770628255835	-0.08642949766149739	-0.06801515106289062	-0.39979166640026664	0.2248006998041734	-0.39979166623073936	0.2199593402727299	-0.39979166666051535	-0.14391539340819193
répandre	0.66	0.4114583333333333	0.3666666666666667	0.19270833333333334	0.33999999999999997	0.5885416666666667	0.2286501377410468	0.24854166666666672	0.2484435212537632	0.25195853797180534	0.2973633300075157	-0.08519993758132016	-0.08469887596446601	-0.3997916665553856	-0.03158783334894383	-0.39979166645066666	0.1305532808609038	-0.39979166666175914	-0.1623068770481323
disputer	0.36	0.11458333333333333	0.17333333333333334	0.050347222222222224	0.6399999999999999	0.8854166666666666	0.07575757575757576	0.24541666666666667	0.2978943629304642	0.2408433947248749	0.2783793079444492	-0.08388255178113024	-0.06697387606038328	-0.399791666448703	0.1680306378339398	-0.3997916662758353	0.24046228757384236	-0.39979166666052635	-0.14327293147808118
précipiter	0.4	0.15625	0.16	0.057291666666666664	0.6000000000000001	0.84375	0.07851239669421486	0.24375000000000002	0.2874722513103672	0.2364215666211914	0.2656519131487951	-0.0831799460210289	-0.06830408054390286	-0.39979166648906667	0.10955859582827565	-0.39979166634962865	0.1730716529257429	-0.3997916666606258	-0.14484600842323203
passer	0.78	0.5364583333333334	0.49333333333333323	0.3142361111111111	0.22000000000000003	0.4635416666666667	0.3512396694214876	0.24354166666666666	0.22744573226293285	0.2530791382446566	0.2919677527463001	-0.08309212030101627	-0.0912614568066278	-0.39979166656579673	-0.061582455351275434	-0.3997916664884422	0.06100503905228205	-0.39979166666263494	-0.17001484479482531
amener	0.52	0.28125	0.24	0.11111111111111109	0.48000000000000004	0.71875	0.1377410468319559	0.23875000000000002	0.2596387125968598	0.24213057071396082	0.2780386027520452	-0.0810721287407251	-0.07267954667506261	-0.3997916665384	0.011600504716446691	-0.3997916664214576	0.1476162793418383	-0.3997916666609935	-0.150029141133312
effrayer	0.3	0.0625	0.22666666666666668	0.041666666666666664	0.7	0.9375	0.07988980716253444	0.2375	0.3007933474753235	0.25436631423374256	0.3157697563357998	-0.08054517442064918	-0.061771222119677796	-0.39979166633366664	0.26745012840196625	-0.39979166604910304	0.43270833333333336	-0.3997916666603238	-0.13828391419592345
annoncer	0.38	0.14583333333333334	0.15333333333333332	0.06597222222222221	0.6199999999999999	0.8541666666666667	0.0840220385674931	0.23416666666666666	0.27954590880178287	0.23307490904956793	0.25582251589428256	-0.07913996290044668	-0.06417713432566265	-0.3997916664858952	0.11171987043218135	-0.39979166640281594	0.12055771103171775	-0.3997916666605006	-0.14115239711404648
tendre	0.32	0.08854166666666667	0.1333333333333333	0.032986111111111105	0.6799999999999999	0.9114583333333333	0.05371900826446281	0.23145833333333332	0.28839884232633	0.23590669622555702	0.26552467198883883	-0.07799822854028202	-0.06067291900549794	-0.3997916664159372	0.19684199870282293	-0.3997916662077958	0.21903537518344673	-0.399791666660329	-0.13757142419191326
descendre	0.5	0.2708333333333333	0.21999999999999997	0.18402777777777776	0.5	0.7291666666666666	0.19146005509641875	0.22916666666666669	0.2520920268906227	0.22186890632105497	0.22149719258657904	-0.07703214562014275	-0.06821701942989429	-0.3997916665385897	0.010379223991749398	-0.39979166653095344	-0.04893683175710606	-0.3997916666608416	-0.14597908565390227
exciter	0.4	0.171875	0.2	0.06423611111111112	0.6000000000000001	0.828125	0.09228650137741048	0.22812500000000002	0.2682479216230822	0.2436297521600727	0.28509089471372295	-0.07659301702007944	-0.06305965640532797	-0.3997916665052121	0.07801571274579633	-0.3997916663132121	0.24052857607199252	-0.39979166666051186	-0.14043189127758604
tromper	0.68	0.453125	0.4066666666666666	0.23611111111111113	0.32	0.546875	0.27134986225895313	0.22687500000000005	0.2237239320483711	0.2512165188722146	0.29265834632248366	-0.07606606270000352	-0.07755165132598306	-0.3997916665625563	-0.05191332056914827	-0.39979166647114045	0.09422916296623307	-0.3997916666616959	-0.15647867074831356
couvrir	0.44	0.21354166666666666	0.19999999999999998	0.09027777777777778	0.5599999999999999	0.7864583333333333	0.11294765840220386	0.22645833333333334	0.2590447738961389	0.2379510345611641	0.26807379149570787	-0.0758904112599782	-0.06433569169729944	-0.39979166652372033	0.04252850895651339	-0.39979166641517017	0.13736596725481975	-0.39979166666061783	-0.14196305097322603
préparer	0.7	0.4739583333333333	0.36000000000000004	0.2586805555555556	0.30000000000000004	0.5260416666666667	0.2796143250688705	0.22604166666666664	0.2203780960875765	0.23611870168258295	0.25556941742392614	-0.07571475981995289	-0.07849624930789617	-0.3997916665642051	-0.05669208220044181	-0.3997916665086796	0.00950384735686749	-0.39979166666182203	-0.15760657402786005
assembler	0.4	0.17708333333333334	0.18666666666666665	0.06944444444444445	0.6000000000000001	0.8229166666666666	0.09366391184573002	0.22291666666666668	0.26189225904287056	0.23958650522964978	0.27372668960234864	-0.07439737401976293	-0.06130206641450853	-0.3997916665099608	0.06828876400589257	-0.3997916663615176	0.18635564515025793	-0.3997916666604729	-0.13894550535516303
prononcer	0.44	0.21875	0.18666666666666665	0.10069444444444445	0.56	0.78125	0.1184573002754821	0.22125	0.25289032000416223	0.23277204411095948	0.25344043847256575	-0.07369476825966169	-0.06253922767373084	-0.3997916665271238	0.03471000135157298	-0.399791666456219	0.0770442302949409	-0.3997916666605775	-0.14043734419996468
parer	0.34	0.11979166666666667	0.12666666666666668	0.043402777777777776	0.66	0.8802083333333333	0.06060606060606061	0.22020833333333334	0.2697877782025273	0.23218145748067298	0.2543150450847884	-0.07325563965959837	-0.05784092508697829	-0.39979166646976233	0.1295830534797333	-0.39979166633536195	0.14598504831146375	-0.399791666660297	-0.1353944033096659
conter	0.28	0.0625	0.11333333333333334	0.022569444444444444	0.72	0.9375	0.04132231404958678	0.21750000000000003	0.278415573357786	0.23381692814915866	0.2600532531422395	-0.07211390529943384	-0.05459125267354924	-0.39979166635586666	0.23445480867271973	-0.39979166609660793	0.21563661976176918	-0.3997916666601426	-0.13207871629690582
ravir	0.54	0.3229166666666667	0.2866666666666667	0.14583333333333331	0.46	0.6770833333333334	0.174931129476584	0.21708333333333335	0.23250032295164755	0.2447352091859936	0.28262854317619646	-0.07193825385940852	-0.06589779763367005	-0.39979166655065373	-0.019843750988865205	-0.3997916664435134	0.12842900876912378	-0.39979166666089533	-0.14449248381828916
appeler	0.54	0.3229166666666667	0.3466666666666667	0.14930555555555555	0.45999999999999996	0.6770833333333333	0.19008264462809915	0.21708333333333335	0.23250032295164755	0.25706181218735785	0.3130726481727775	-0.0719382538594085	-0.06589779763366996	-0.39979166655065373	-0.019843750988865205	-0.3997916664030827	0.20927087932700084	-0.39979166666089533	-0.14449248381828916
détourner	0.48	0.265625	0.18	0.10416666666666664	0.52	0.734375	0.11983471074380166	0.21437499999999998	0.238449323123283	0.2305611300591177	0.24722294260176514	-0.07079651949924394	-0.061992650175468886	-0.39979166654130194	0.002726377238979172	-0.3997916664704994	0.05379524368513089	-0.3997916666606515	-0.14042569884675504
élever	0.64	0.4270833333333333	0.36000000000000004	0.18923611111111113	0.36	0.5729166666666667	0.22451790633608815	0.2129166666666667	0.2146743394581563	0.2512619486130059	0.29592774849088843	-0.07018173945915536	-0.06969547427348928	-0.3997916665627057	-0.05238818087390523	-0.3997916664507027	0.12954593288877825	-0.39979166666132876	-0.14908506403891486
reposer	0.32	0.109375	0.1333333333333333	0.03645833333333333	0.6799999999999999	0.8906249999999999	0.05647382920110192	0.210625	0.2613742098010659	0.23514953387903587	0.2631707682466784	-0.06921565653901605	-0.0539078331867924	-0.39979166646369524	0.13276925172533072	-0.3997916662514978	0.20011772312251608	-0.39979166666018073	-0.13187851173363885
sortir	0.86	0.6510416666666666	0.6066666666666666	0.46006944444444436	0.14	0.34895833333333337	0.49035812672176304	0.20895833333333336	0.18700388414270136	0.24599209868121868	0.2693309517615328	-0.0685130507789148	-0.0824320539838274	-0.3997916665750251	-0.08935931286074672	-0.3997916665169709	-0.005891513006278437	-0.39979166666325855	-0.16375649594325292
commander	0.5	0.2916666666666667	0.22666666666666668	0.13194444444444442	0.5	0.7083333333333333	0.15151515151515152	0.20833333333333331	0.22863413919972128	0.23468009322419275	0.257225911208287	-0.06824957361887679	-0.06077386102834499	-0.39979166654773807	-0.013101445107829013	-0.39979166647164655	0.06622413336170052	-0.39979166666067023	-0.13960902533446973
affliger	0.3	0.09375	0.14666666666666664	0.03125	0.6999999999999998	0.9062499999999999	0.055096418732782364	0.20625	0.25953818394752864	0.23919278080945877	0.2749759708389936	-0.06737131641875024	-0.05172804500673128	-0.3997916664446667	0.15188005433757534	-0.39979166613386663	0.2699200657438712	-0.39979166666010507	-0.12985021971719013
