Avertis	VER:pper	avertir
promptement	ADV	promptement
la	DET:ART	le
princesse	NOM	princesse
Hésione	NAM	Hésione
,	PUN	,
C'	NAM	C'
est	VER:pres	être
un	DET:ART	un
avis	NOM	avis
pressant	ADJ	pressant
qu'	PRO:REL	que
il	PRO:PER	il
faut	VER:pres	falloir
que	KON	que
je	PRO:PER	je
lui	PRO:PER	lui
donne	VER:pres	donner
:	PUN	:
À	PRP	à
Darie	NAM	Darie
.	SENT	.
Oui	INT	oui
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
d'	PRP	de
Égypte	NAM	Égypte
,	PUN	,
et	KON	et
du	PRP:det	du
camp	NOM	camp
du	PRP:det	du
feu	NOM	feu
Roi	NAM	Roi
,	PUN	,
Que	NAM	Que
je	PRO:PER	je
reviens	VER:pres	revenir
ici	ADV	ici
plein	ADJ	plein
de	PRP	de
trouble	NOM	trouble
et	KON	et
d'	PRP	de
effroi	NOM	effroi
.	SENT	.
Hors	PRP	hors
d'	DET:ART	de
état	NOM	état
de	PRP	de
combattre	VER:infi	combattre
,	PUN	,
ayant	VER:ppre	avoir
quitté	VER:pper	quitter
l'	DET:ART	le
Armée	NAM	Armée
,	PUN	,
La	DET:ART	le
victoire	NOM	victoire
,	PUN	,
ou	KON	ou
la	DET:ART	le
paix	NOM	paix
,	PUN	,
y	PRO:PER	y
semblait	VER:impf	sembler
confirmée	VER:pper	confirmer
.	SENT	.
Le	DET:ART	le
sort	NOM	sort
a-t-il	ADJ	a-t-il
changé	VER:pper	changer
?	SENT	?
Craint	VER:pres	craindre
-on	PRO:PER	on
nos	DET:POS	notre
ennemis	NOM	ennemi
?	SENT	?
Quoique	KON	quoique
de	PRP	de
ma	DET:POS	mon
blessure	NOM	blessure
encore	ADV	encore
mal	ADV	mal
remis	VER:pper	remettre
,	PUN	,
J'	ADJ	J'
irai	VER:futu	aller
...	PUN	...
C'	NAM	C'
est	VER:pres	être
d'	PRP	de
autres	ADJ	autre
maux	NOM	mal
que	PRO:REL	que
je	PRO:PER	je
viens	VER:pres	venir
vous	PRO:PER	vous
instruire	VER:infi	instruire
;	PUN	;
Par	NAM	Par
l'	DET:ART	le
ordre	NOM	ordre
de	PRP	de
nos	DET:POS	notre
chefs	NOM	chef
,	PUN	,
ce	PRO:DEM	ce
qu'	PRO:REL	que
on	PRO:PER	on
craint	VER:pres	craindre
pour	PRP	pour
l'	DET:ART	le
Empire	NAM	Empire
,	PUN	,
Avant	NAM	Avant
que	KON	que
voir	VER:infi	voir
le	DET:ART	le
roi	NOM	roi
,	PUN	,
doit	VER:pres	devoir
paraître	VER:infi	paraître
à	PRP	à
vos	DET:POS	votre
yeux	NOM	œil
.	SENT	.
Mais	KON	mais
le	DET:ART	le
roi	NOM	roi
pourrait	VER:cond	pouvoir
bien	ADV	bien
nous	PRO:PER	nous
surprendre	VER:infi	surprendre
en	PRP	en
ces	PRO:DEM	ce
lieux	NOM	lieu
.	SENT	.
Non	ADV	non
,	PUN	,
non	ADV	non
,	PUN	,
depuis	PRP	depuis
six	NUM	six
mois	NOM	moi|mois
maître	NOM	maître
de	PRP	de
la	DET:ART	le
couronne	NOM	couronne
,	PUN	,
Soit	VER:pres	Soit
orgueil	NOM	orgueil
,	PUN	,
soit	KON	soit
coutume	NOM	coutume
,	PUN	,
il	PRO:PER	il
cache	VER:pres	cacher
sa	DET:POS	son
personne	NOM	personne
:	PUN	:
Zopire	NAM	Zopire
,	PUN	,
tu	PRO:PER	tu
sais	VER:pres	savoir
bien	ADV	bien
comme	KON	comme
il	PRO:PER	il
aimait	VER:impf	aimer
ma	DET:POS	mon
soeur	NOM	sœur
,	PUN	,
Comme	VER:subp	Comme
il	PRO:PER	il
m'	PRO:PER	me
offrit	VER:simp	offrir
la	PRO:PER	la
sienne	PRO:POS	sien
,	PUN	,
et	KON	et
toute	PRO:IND	tout
sa	DET:POS	son
faveur	NOM	faveur
;	PUN	;
Maintenant	VER:ppre	maintenir
sur	PRP	sur
le	DET:ART	le
trône	NOM	trône
,	PUN	,
il	PRO:PER	il
fuit	VER:pres	fuir
ma	DET:POS	mon
confidence	NOM	confidence
,	PUN	,
Et	VER:simp	Et
tout	PRO:IND	tout
son	DET:POS	son
procédé	NOM	procédé
marque	VER:pres	marquer
son	DET:POS	son
inconstance	NOM	inconstance
.	SENT	.
Il	PRO:PER	il
manque	VER:pres	manquer
,	PUN	,
l'	DET:ART	le
infidèle	ADJ	infidèle
,	PUN	,
à	PRP	à
ce	PRO:DEM	ce
