Quoi	PRO	quoi
malgré	PRP	malgré
nos	DET:POS	notre
chagrins	NOM	chagrin
et	KON	et
notre	DET:POS	notre
longue	ADJ	longue
haine	NOM	haine
,	PUN	,
Léon	NAM	Léon
,	PUN	,
dis	VER:pres	dire
-tu	PRO:PER	tu
,	PUN	,
demande	VER:pres	demander
à	PRP	à
parler	VER:infi	parler
à	PRP	à
Marcène	NAM	Marcène
?	SENT	?
À	PRP	à
moi	PRO:PER	moi
?	SENT	?
Me	PRO:PER	me
dis	VER:pres	dire
-tu	PRO:PER	tu
vrai	ADJ	vrai
?	SENT	?
Puis	ADV	puis
-je	PRO:PER	je
le	PRO:PER	le
croire	VER:infi	croire
ainsi	ADV	ainsi
?	SENT	?
Oui	INT	oui
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
et	KON	et
bientôt	ADV	bientôt
il	PRO:PER	il
se	PRO:PER	se
doit	VER:pres	devoir
rendre	VER:infi	rendre
ici	ADV	ici
.	SENT	.
Est-il	ADJ	Est-il
quelque	PRO:IND	quelque
intérêt	NOM	intérêt
assez	ADV	assez
fort	ADJ	fort
sur	PRP	sur
son	DET:POS	son
âme	NOM	âme
,	PUN	,
Pour	NAM	Pour
contraindre	VER:infi	contraindre
un	DET:ART	un
moment	NOM	moment
le	DET:ART	le
courroux	NOM	courroux
qui	PRO:REL	qui
l'	PRO:PER	la|le
enflamme	VER:pres	enflammer
,	PUN	,
Après	NAM	Après
que	KON	que
si	ADV	si
longtemps	ADV	longtemps
soigneux	ADJ	soigneux
de	PRP	de
m'	PRO:PER	me
offenser	VER:infi	offenser
Et	NOM	Et
dans	PRP	dans
tous	PRO:IND	tout
mes	DET:POS	mon
desseins	NOM	dessein
prompt	ADJ	prompt
à	PRP	à
me	PRO:PER	me
traverser	VER:infi	traverser
,	PUN	,
Il	NAM	Il
a	VER:pres	avoir
tenté	VER:pper	tenter
cent	NUM	cent
fois	NOM	foi|fois
d'	PRP	de
usurper	VER:infi	usurper
ma	DET:POS	mon
puissance	NOM	puissance
,	PUN	,
Et	VER:ppre	Et
l'	DET:ART	le
emploi	NOM	emploi
glorieux	ADJ	glorieux
que	PRO:REL	que
j'	PRO:PER	je
exerce	VER:pres	exercer
à	PRP	à
Byzance	NAM	Byzance
;	PUN	;
Pour	NAM	Pour
moi	PRO:PER	moi
je	PRO:PER	je
l'	PRO:PER	la|le
avouerai	VER:futu	avouer
,	PUN	,
dans	PRP	dans
ma	DET:POS	mon
haine	NOM	haine
affermie	VER:pper	affermir
,	PUN	,
Je	PRO:PER	je
ne	ADV	ne
regarde	VER:pres	regarder
en	PRP	en
lui	PRO:PER	lui
qu'	KON	que
un	DET:ART	un
mortel	NOM	mortel
ennemi	ADJ	ennemi
,	PUN	,
Et	VER:ppre	Et
ma	DET:POS	mon
faveur	NOM	faveur
sans	PRP	sans
cesse	NOM	cesse
à	PRP	à
la	DET:ART	le
sienne	PRO:POS	sien
contraire	ADJ	contraire
,	PUN	,
Me	ABR	Me
