Ils	PRO:PER	il
ne	ADV	ne
sont	VER:pres	être
pas	ADV	pas
venus	VER:pper	venir
,	PUN	,
nos	DET:POS	notre
deux	NUM	deux
rois	NOM	roi
?	SENT	?
Qu'	KON	que
on	PRO:PER	on
leur	DET:POS	leur
die	NOM	die
Qu'	ADJ	Qu'
ils	PRO:PER	il
se	PRO:PER	se
font	VER:pres	faire
trop	ADV	trop
attendre	VER:infi	attendre
,	PUN	,
et	KON	et
qu'	KON	que
Attila	NAM	Attila
s'	PRO:PER	se
ennuie	VER:pres	ennuyer
;	PUN	;
Qu'	ADJ	Qu'
alors	ADV	alors
que	KON	que
je	PRO:PER	je
les	DET:ART	le
mande	NOM	mande
ils	PRO:PER	il
doivent	VER:pres	devoir
se	PRO:PER	se
hâter	VER:infi	hâter
.	SENT	.
Mais	KON	mais
,	PUN	,
seigneur	NOM	seigneur
,	PUN	,
quel	PRO:REL	quel
besoin	NOM	besoin
de	PRP	de
les	DET:ART	le
en	PRO:PER	en
consulter	VER:infi	consulter
?	SENT	?
Pourquoi	ADV	pourquoi
de	PRP	de
votre	DET:POS	votre
hymen	NOM	hymen
les	PRO:PER	la|le
prendre	VER:infi	prendre
pour	PRP	pour
arbitres	NOM	arbitre
,	PUN	,
Eux	NOM	Eux
qui	PRO:REL	qui
n'	ADV	ne
ont	VER:pres	avoir
de	PRP	de
leur	DET:POS	leur
trône	NOM	trône
ici	ADV	ici
que	KON	que
de	PRP	de
vains	ADJ	vain
titres	NOM	titre
,	PUN	,
Et	NOM	Et
que	KON	que
vous	PRO:PER	vous
ne	ADV	ne
laissez	VER:pres	laisser
au	PRP:det	au
nombre	NOM	nombre
des	PRP:det	du
vivants	NOM	vivant
Que	VER:pper	Que
pour	PRP	pour
traîner	VER:infi	traîner
partout	ADV	partout
deux	NUM	deux
rois	NOM	roi
pour	PRP	pour
vos	DET:POS	votre
suivants	NOM	suivant
?	SENT	?
J'	PRO:PER	je
en	PRO:PER	en
puis	ADV	puis
résoudre	VER:infi	résoudre
seul	ADJ	seul
,	PUN	,
Octar	NAM	Octar
,	PUN	,
et	KON	et
les	PRO:PER	la|le
appelle	VER:pres	appeler
,	PUN	,
Non	NAM	Non
sous	PRP	sous
aucun	PRO:IND	aucun
espoir	NOM	espoir
de	PRP	de
lumière	NOM	lumière
nouvelle	ADJ	nouveau
:	PUN	:
Je	PRO:PER	je
crois	VER:pres	croire
voir	VER:infi	voir
avant	PRP	avant
eux	PRO:PER	eux
ce	PRO:DEM	ce
qu'	PRO:REL	que
ils	PRO:PER	il
m'	PRO:PER	me
éclairciront	VER:futu	éclaircir
,	PUN	,
Et	VER:simp	Et
m'	PRO:PER	me
être	VER:infi	être
déjà	ADV	déjà
dit	VER:pres	dire
tout	ADV	tout
ce	PRO:DEM	ce
qu'	PRO:REL	que
ils	PRO:PER	il
me	PRO:PER	me
diront	VER:futu	dire
;	PUN	;
Mais	VER:impf	Mais
de	PRP	de
ces	PRO:DEM	ce
deux	NUM	deux
partis	NOM	parti
lequel	PRO:REL	lequel
que	KON	que
je	PRO:PER	je
préfère	VER:pres	préférer
,	PUN	,
Sa	VER:simp	Sa
gloire	NOM	gloire
est	VER:pres	être
un	DET:ART	un
affront	NOM	affront
pour	PRP	pour
l'	DET:ART	le
autre	ADJ	autre
,	PUN	,
et	KON	et
pour	PRP	pour
son	DET:POS	son
frère	NOM	frère
;	PUN	;
Et	NAM	Et
je	PRO:PER	je
veux	VER:pres	vouloir
attirer	VER:infi	attirer
d'	PRP	de
un	DET:ART	un
si	ADV	si
juste	ADJ	juste
courroux	NOM	courroux
Sur	NAM	Sur
l'	DET:ART	le
auteur	NOM	auteur
du	PRP:det	du
conseil	NOM	conseil
les	DET:ART	le
plus	ADV	plus
dangereux	ADJ	dangereux
coups	NOM	coup
,	PUN	,
Assurer	VER:infi	assurer
une	DET:ART	un
excuse	NOM	excuse
à	PRP	à
ce	PRO:DEM	ce
manque	NOM	manque
d'	PRP	de
estime	NOM	estime
,	PUN	,
Pouvoir	NOM	pouvoir
,	PUN	,
s'	PRO:PER	se
il	PRO:PER	il
est	VER:pres	être
besoin	NOM	besoin
,	PUN	,
livrer	VER:infi	livrer
une	DET:ART	un
victime	NOM	victime
;	PUN	;
Et	VER:simp	Et
c'	PRO:DEM	ce
est	VER:pres	être
ce	PRO:DEM	ce
qui	PRO:REL	qui
m'	PRO:PER	me
