Licas	NOM	Licas
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
certain	PRO:IND	certain
,	PUN	,
pour	PRP	pour
me	PRO:PER	me
favoriser	VER:infi	favoriser
La	DET:ART	le
fortune	NOM	fortune
propice	ADJ	propice
a	VER:pres	avoir
semblé	VER:pper	sembler
s'	PRO:PER	se
épuiser	VER:infi	épuiser
C'	NOM	C'
était	VER:impf	être
peu	ADV	peu
de	PRP	de
jouir	VER:infi	jouir
des	PRP:det	du
droits	NOM	droit
héréditaires	ADJ	héréditaire
De	VER:simp	De
l'	DET:ART	le
Empire	NOM	Empire
d'	PRP	de
Argos	NAM	Argos
que	PRO:REL	que
m'	PRO:PER	me
ont	VER:pres	avoir
laissé	VER:pper	laisser
mes	DET:POS	mon
pères	NOM	père
;	PUN	;
L'	DET:ART	le
hymen	NOM	hymen
de	PRP	de
tous	PRO:IND	tout
mes	DET:POS	mon
jours	NOM	jour
éclairant	VER:ppre	éclairer
le	DET:ART	le
plus	ADV	plus
beau	ADJ	beau
,	PUN	,
Va	VER:simp	Va
m'	PRO:PER	me
assurer	VER:infi	assurer
les	DET:ART	le
droits	NOM	droit
d'	PRP	de
un	DET:ART	un
empire	NOM	empire
nouveau	ADJ	nouveau
.	SENT	.
J'	PRO:PER	je
épouse	VER:pres	épouser
Sténobée	VER:pper	Sténobée
,	PUN	,
une	DET:ART	un
aimable	ADJ	aimable
princesse	NOM	princesse
qui	PRO:REL	qui
joindra	VER:futu	joindre
sous	PRP	sous
mes	DET:POS	mon
lois	NOM	loi
la	DET:ART	le
Lycie	NOM	Lycie
et	KON	et
la	DET:ART	le
Grèce	NAM	Grèce
,	PUN	,
L'	DET:ART	le
héritière	NOM	héritier
d'	PRP	de
un	DET:ART	un
roi	NOM	roi
puissant	ADJ	puissant
et	KON	et
glorieux	ADJ	glorieux
,	PUN	,
L'	DET:ART	le
objet	NOM	objet
des	PRP:det	du
voeux	NOM	vœu
jaloux	ADJ	jaloux
des	PRP:det	du
plus	ADV	plus
ambitieux	ADJ	ambitieux
;	PUN	;
Mais	VER:impf	Mais
pour	PRP	pour
mettre	VER:infi	mettre
le	DET:ART	le
comble	NOM	comble
à	PRP	à
mon	DET:POS	mon
bonheur	NOM	bonheur
extrême	ADJ	extrême
,	PUN	,
Pour	NOM	Pour
tout	ADV	tout
dire	VER:infi	dire
en	PRP	en
un	DET:ART	un
mot	NOM	mot
,	PUN	,
j'	PRO:PER	je
épouse	VER:pres	épouser
ce	PRO:DEM	ce
que	PRO:REL	que
j'	PRO:PER	je
aime	VER:pres	aimer
;	PUN	;
Et	NOM	Et
pour	PRP	pour
me	PRO:PER	me
rendre	VER:infi	rendre
heureux	ADJ	heureux
dans	PRP	dans
sa	DET:POS	son
possession	NOM	possession
,	PUN	,
L'	DET:ART	le
amour	NOM	amour
est	VER:pres	être
de	PRP	de
concert	NOM	concert
avec	PRP	avec
l'	DET:ART	le
ambition	NOM	ambition
.	SENT	.
Si	KON	si
de	PRP	de
votre	DET:POS	votre
destin	NOM	destin
la	DET:ART	le
gloire	NOM	gloire
est	VER:pres	être
peu	ADV	peu
commune	ADJ	commun
,	PUN	,
Vous	NAM	Vous
la	PRO:PER	la
tenez	VER:pres	tenir
de	PRP	de
vous	PRO:PER	vous
plus	ADV	plus
que	KON	que
de	PRP	de
la	DET:ART	le
Fortune	NOM	fortune
.	SENT	.
Combien	ADV	combien
de	PRP	de
rois	NOM	roi
jaloux	ADJ	jaloux
ont	VER:pres	avoir
voulu	VER:pper	vouloir
vous	PRO:PER	vous
l'	PRO:PER	la|le
ôter	VER:infi	ôter
?	SENT	?
Quels	PRO:REL	quel
efforts	NOM	effort
pour	PRP	pour
les	PRO:PER	la|le
vaincre	VER:infi	vaincre
a-t-il	ADJ	a-t-il
fallu	VER:pper	falloir
tenter	VER:infi	tenter
?	SENT	?
Le	DET:ART	le
ciel	NOM	ciel
même	ADV	même
irrité	VER:pper	irriter
plutôt	ADV	plutôt
que	KON	que
favorable	ADJ	favorable
,	PUN	,
A	PRP	à
fait	NOM	fait
naître	VER:infi	naître
au-dessus	ADV	au-dessus
de	PRP	de
tout	PRO:IND	tout
l'	DET:ART	le
effort	NOM	effort
humain	ADJ	humain
,	PUN	,
Un	ABR	Un
prodige	NOM	prodige
au-dessus	ADV	au-dessus
de	PRP	de
tout	PRO:IND	tout
l'	DET:ART	le
effort	NOM	effort
humain	ADJ	humain
,	PUN	,
Dont	VER:futu	Dont
l'	DET:ART	le
avide	ADJ	avide
fureur	NOM	fureur
porte	VER:pres	porter
un	DET:ART	un
trépas	NOM	trépas
certain	ADJ	certain
;	PUN	;
Qui	NAM	Qui
tantôt	ADV	tantôt
dans	PRP	dans
nos	DET:POS	notre
bois	NOM	bois
,	PUN	,
tantôt	ADV	tantôt
sur	PRP	sur
le	DET:ART	le
rivage	NOM	rivage
,	PUN	,
Détruit	VER:pper	détruire
tout	ADV	tout
remplit	VER:pres	remplir
tout	ADV	tout
d'	PRP	de
horreur	NOM	horreur
et	KON	et
de	PRP	de
carnage	NOM	carnage
,	PUN	,
Et	NOM	Et
par	PRP	par
l'	DET:ART	le
effroi	NOM	effroi
public	ADJ	public
a	VER:pres	avoir
fait	VER:pper	faire
jusqu'	PRP	jusque
à	PRP	à
ce	PRO:DEM	ce
jour	NOM	jour
Retarder	VER:infi	retarder
le	DET:ART	le
bonheur	NOM	bonheur
qui	PRO:REL	qui
flatte	VER:pres	flatter
votre	DET:POS	votre
amour	NOM	amour
.	SENT	.
La	DET:ART	le
colère	NOM	colère
du	PRP:det	du
Ciel	NOM	Ciel
par	PRP	par
vos	DET:POS	votre
yeux	NOM	œil
adoucie	VER:pper	adoucir
Commence	NAM	Commence
à	PRP	à
dissiper	VER:infi	dissiper
l'	DET:ART	le
effroi	NOM	effroi
de	PRP	de
la	DET:ART	le
Lycie	NAM	Lycie
;	PUN	;
Et	NAM	Et
si	KON	si
l'	PRO:PER	la|le
on	PRO:PER	on
croit	VER:pres	croire
des	PRP:det	du
Dieux	NOM	Dieu
les	DET:ART	le
Oracles	NOM	oracle
sacrés	ADJ	sacré
Nous	PRO:PER	nous
en	PRO:PER	en
seront	VER:futu	être
bientôt	ADV	bientôt
pleinement	ADV	pleinement
délivrés	VER:pper	délivrer
.	SENT	.
Le	DET:ART	le
peuple	NOM	peuple
rassuré	VER:pper	rassurer
par	PRP	par
cet	PRO:DEM	ce
espoir	NOM	espoir
propice	ADJ	propice
,	PUN	,
Content	VER:pres	conter
de	PRP	de
notre	DET:POS	notre
hymen	NOM	hymen
,	PUN	,
presse	NOM	presse
qu'	PRO:REL	que
on	PRO:PER	on
l'	PRO:PER	la|le
accomplisse	VER:subp	accomplir
;	PUN	;
Et	VER:ppre	Et
ma	DET:POS	mon
princesse	NOM	princesse
enfin	ADV	enfin
favorable	ADJ	favorable
à	PRP	à
mes	DET:POS	mon
voeux	NOM	vœu
,	PUN	,
M'	NAM	M'
en	PRO:PER	en
laisse	VER:pres	laisser
avec	PRP	avec
le	DET:ART	le
roi	NOM	roi
choisir	VER:infi	choisir
le	DET:ART	le
jour	NOM	jour
heureux	ADJ	heureux
.	SENT	.
Mais	KON	mais
,	PUN	,
s'	PRO:PER	se
il	PRO:PER	il
faut	VER:pres	falloir
dire	VER:infi	dire
tout	ADV	tout
,	PUN	,
quelqu'heureux	ADJ	quelqu'heureux
qu'	KON	que
on	PRO:PER	on
me	PRO:PER	me
voit	VER:pres	voir
,	PUN	,
Mon	NAM	Mon
seul	ADJ	seul
bonheur	NOM	bonheur
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
ma	DET:POS	mon
plus	ADV	plus
parfaite	ADJ	parfait
joie	NOM	joie
,	PUN	,
L'	DET:ART	le
ambition	NOM	ambition
,	PUN	,
l'	DET:ART	le
amour	NOM	amour
n'	ADV	ne
en	PRO:PER	en
font	VER:pres	faire
que	KON	que
la	DET:ART	le
moitié	NOM	moitié
;	PUN	;
Et	VER:subi	Et
j'	PRO:PER	je
en	PRO:PER	en
dois	VER:pres	devoir
en	PRP	en
effet	NOM	effet
le	DET:ART	le
comble	NOM	comble
à	PRP	à
l'	DET:ART	le
amitié	NOM	amitié
.	SENT	.
Un	DET:ART	un
précieux	ADJ	précieux
ami	NOM	ami
dans	PRP	dans
son	DET:POS	son
sort	NOM	sort
m'	PRO:PER	me
intéresse	VER:pres	intéresser
,	PUN	,
Et	NOM	Et
pour	PRP	pour
Béllérophon	NAM	Béllérophon
tu	PRO:PER	tu
connais	VER:pres	connaître
ma	DET:POS	mon
tendresse	NOM	tendresse
.	SENT	.
Chassé	VER:pper	chasser
de	PRP	de
sa	DET:POS	son
patrie	NOM	patrie
,	PUN	,
errant	ADJ	errant
,	PUN	,
et	KON	et
sans	PRP	sans
appui	NOM	appui
,	PUN	,
Il	NAM	Il
trouva	VER:simp	trouver
plus	ADV	plus
chez	PRP	chez
moi	PRO:PER	moi
qu'	KON	que
il	PRO:PER	il
ne	ADV	ne
perdit	VER:simp	perdre
chez	PRP	chez
lui	PRO:PER	lui
.	SENT	.
La	DET:ART	le
douceur	NOM	douceur
dont	PRO:REL	dont
me	PRO:PER	me
flatte	VER:pres	flatter
un	DET:ART	un
nouveau	ADJ	nouveau
diadème	NOM	diadème
,	PUN	,
N'	NAM	N'
est	VER:pres	être
que	KON	que
pour	PRP	pour
en	PRO:PER	en
jouir	VER:infi	jouir
dans	PRP	dans
un	DET:ART	un
autre	ADJ	autre
moi	NOM	moi
-même	ADJ	même
,	PUN	,
Et	VER:impf	Et
je	PRO:PER	je
ne	ADV	ne
puis	ADV	puis
au	PRP:det	au
trône	NOM	trône
être	VER:infi	être
heureux	ADJ	heureux
qu'	KON	que
à	PRP	à
demi	NOM	demi
,	PUN	,
A	PRP	à
moins	ADV	moins
que	KON	que
d'	PRP	de
y	PRO:PER	y
pouvoir	VER:infi	pouvoir
élever	VER:infi	élever
mon	DET:POS	mon
ami	NOM	ami
.	SENT	.
La	DET:ART	le
couronne	NOM	couronne
d'	PRP	de
Argos	NAM	Argos
à	PRP	à
mes	DET:POS	mon
voeux	NOM	vœu
peut	VER:pres	pouvoir
suffire	VER:infi	suffire
;	PUN	;
C'	NAM	C'
est	VER:pres	être
pour	PRP	pour
lui	PRO:PER	lui
qu'	KON	que
en	PRP	en
ces	PRO:DEM	ce
lieux	NOM	lieu
je	PRO:PER	je
cherche	VER:pres	chercher
un	DET:ART	un
autre	ADJ	autre
empire	NOM	empire
.	SENT	.
Iobas	VER:simp	Iobas
accablé	VER:pper	accabler
du	PRP:det	du
faix	NOM	faix
de	PRP	de
ses	DET:POS	son
vieux	ADJ	vieux
ans	NOM	an
,	PUN	,
S'	NAM	S'
il	PRO:PER	il
peut	VER:pres	pouvoir
régner	VER:infi	régner
encore	ADV	encore
,	PUN	,
ne	ADV	ne
peut	VER:pres	pouvoir
régner	VER:infi	régner
longtemps	ADV	longtemps
;	PUN	;
A	PRP	à
deux	NUM	deux
filles	NOM	fille
ici	ADV	ici
sa	DET:POS	son
famille	NOM	famille
est	VER:pres	être
bornée	VER:pper	borner
,	PUN	,
Et	NAM	Et
j'	PRO:PER	je
ose	VER:pres	oser
me	PRO:PER	me
promettre	VER:infi	promettre
en	PRP	en
épousant	VER:ppre	épouser
l'	DET:ART	le
aînée	NOM	aîné
,	PUN	,
De	VER:simp	De
voir	VER:infi	voir
notre	DET:POS	notre
amitié	NOM	amitié
pour	PRP	pour
comble	NOM	comble
de	PRP	de
douceurs	NOM	douceur
Se	VER:subi	Se
serrer	VER:infi	serrer
de	PRP	de
nouveau	ADJ	nouveau
par	PRP	par
l'	DET:ART	le
hymen	NOM	hymen
des	PRP:det	du
deux	NUM	deux
soeurs	NOM	sœur
.	SENT	.
De	PRP	de
cet	PRO:DEM	ce
espoir	NOM	espoir
charmant	VER:ppre	charmer
en	PRP	en
secret	ADJ	secret
je	PRO:PER	je
me	PRO:PER	me
flatte	VER:pres	flatter
,	PUN	,
Mais	VER:impf	Mais
il	PRO:PER	il
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
encore	ADV	encore
à	PRP	à
propos	NOM	propos
qu'	PRO:REL	que
il	PRO:PER	il
éclate	VER:pres	éclater
;	PUN	;
Cette	NAM	Cette
jeune	ADJ	jeune
princesse	NOM	princesse
a	VER:pres	avoir
des	PRP:det	du
rois	NOM	roi
pour	PRP	pour
amants	NOM	amant
,	PUN	,
Dont	VER:futu	Dont
il	PRO:PER	il
faut	VER:pres	falloir
ménager	VER:infi	ménager
les	DET:ART	le
mécontentements	NOM	mécontentement
.	SENT	.
L'	DET:ART	le
aveu	NOM	aveu
de	PRP	de
Sténobée	NAM	Sténobée
est	VER:pres	être
sur	PRP	sur
tout	ADV	tout
nécessaire	ADJ	nécessaire
;	PUN	;
C'	NAM	C'
est	VER:pres	être
elle	PRO:PER	elle
qui	PRO:REL	qui
gouverne	NOM	gouverne
et	KON	et
l'	DET:ART	le
état	NOM	état
,	PUN	,
et	KON	et
son	DET:POS	son
père	NOM	père
;	PUN	;
L'	DET:ART	le
hymen	NOM	hymen
a	VER:pres	avoir
commencé	VER:pper	commencer
déjà	ADV	déjà
de	PRP	de
nous	PRO:PER	nous
unir	VER:infi	unir
,	PUN	,
Et	VER:infi	Et
bientôt	ADV	bientôt
mon	DET:POS	mon
amour	NOM	amour
pourra	VER:futu	pouvoir
tout	ADV	tout
obtenir	VER:infi	obtenir
.	SENT	.
Alors	ADV	alors
pour	PRP	pour
mon	DET:POS	mon
ami	NOM	ami
j'	PRO:PER	je
espère	VER:pres	espérer
avec	PRP	avec
adresse	NOM	adresse
...	PUN	...
Mais	VER:impf	Mais
il	PRO:PER	il
vient	VER:pres	venir
.	SENT	.
Trouvez	VER:pres	trouver
bon	ADJ	bon
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
nous	PRO:PER	nous
laisse	VER:pres	laisser
.	SENT	.
Licas	NAM	Licas
se	PRO:PER	se
retire	VER:pres	retirer
D'	NAM	D'
où	PRO:REL	où
naissent	VER:pres	naître
ces	PRO:DEM	ce
soupirs	NOM	soupir
,	PUN	,
et	KON	et
ces	PRO:DEM	ce
regards	NOM	regard
troublés	ADJ	troublé
?	SENT	?
Seigneur	NAM	Seigneur
...	PUN	...
Béllérophon	NAM	Béllérophon
,	PUN	,
expliquez	VER:pres	expliquer
-vous	PRO:PER	vous
,	PUN	,
parlez	VER:pres	parler
.	SENT	.
Apprenez	VER:pres	apprendre
-moi	PRO:PER	moi
quel	PRO:REL	quel
trouble	VER:pres	troubler
ainsi	ADV	ainsi
vous	PRO:PER	vous
peut	VER:pres	pouvoir
surprendre	VER:infi	surprendre
.	SENT	.
B	NAM	B
Héla	NAM	Héla
!	SENT	!
Seigneur	NOM	seigneur
,	PUN	,
comment	ADV	comment
pourrai	VER:futu	pouvoir
-je	PRO:PER	je
vous	PRO:PER	vous
l'	PRO:PER	la|le
apprendre	VER:infi	apprendre
,	PUN	,
Et	NOM	Et
malgré	PRP	malgré
l'	DET:ART	le
amitié	NOM	amitié
qui	PRO:REL	qui
m'	PRO:PER	me
attache	VER:pres	attacher
en	PRP	en
ce	PRO:DEM	ce
lieu	NOM	lieu
,	PUN	,
Comment	NAM	Comment
pourrai	VER:futu	pouvoir
-je	PRO:PER	je
enfin	ADV	enfin
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
vous	PRO:PER	vous
dire	VER:infi	dire
adieu	NOM	adieu
.	SENT	.
Adieu	INT	adieu
!	SENT	!
Dites	VER:pres	dire
-vous	PRO:PER	vous
?	SENT	?
J'	PRO:PER	je
en	PRO:PER	en
frémis	VER:pres	frémir
,	PUN	,
l'	PRO:PER	la|le
en	PRO:PER	en
soupire	VER:pres	soupirer
,	PUN	,
J'	NAM	J'
en	PRO:PER	en
ai	VER:pres	avoir
le	DET:ART	le
coeur	NOM	cœur
percé	ADJ	percé
,	PUN	,
mais	KON	mais
il	PRO:PER	il
faut	VER:pres	falloir
vous	PRO:PER	vous
le	PRO:PER	le
dire	VER:infi	dire
:	PUN	:
Il	PRO:PER	il
le	PRO:PER	le
faut	VER:pres	falloir
en	PRP	en
dépit	NOM	dépit
de	PRP	de
mes	DET:POS	mon
plus	ADV	plus
doux	ADJ	doux
souhaits	NOM	souhait
,	PUN	,
Il	NAM	Il
vous	PRO:PER	vous
faut	VER:pres	falloir
même	ADV	même
enfin	ADV	enfin
dire	VER:infi	dire
adieu	NOM	adieu
pour	KON	pour
jamais	ADV	jamais
.	SENT	.
Ainsi	ADV	ainsi
,	PUN	,
cruel	ADJ	cruel
ami	NOM	ami
,	PUN	,
dans	PRP	dans
un	DET:ART	un
temps	NOM	temps
d'	PRP	de
allégresse	NOM	allégresse
Vous	NAM	Vous
voulez	VER:pres	vouloir
donc	ADV	donc
troubler	VER:infi	troubler
ma	DET:POS	mon
joie	NOM	joie
et	KON	et
ma	DET:POS	mon
tendresse	NOM	tendresse
?	SENT	?
Et	KON	et
ravir	VER:infi	ravir
aux	PRP:det	au
douceurs	NOM	douceur
dont	PRO:REL	dont
je	PRO:PER	je
m'	PRO:PER	me
étais	VER:impf	être
flatté	VER:pper	flatter
Le	DET:ART	le
témoin	NOM	témoin
le	DET:ART	le
plus	ADV	plus
cher	ADJ	cher
de	PRP	de
ma	DET:POS	mon
félicité	NOM	félicité
?	SENT	?
Quoi	PRO	quoi
?	SENT	?
Si	KON	si
près	ADV	près
d'	PRP	de
un	DET:ART	un
bonheur	NOM	bonheur
qui	PRO:REL	qui
doit	VER:pres	devoir
faire	VER:infi	faire
de	PRP	de
vôtre	PRO:POS	vôtre
,	PUN	,
Où	ABR	Où
vous	PRO:PER	vous
devez	VER:pres	devoir
avoir	VER:infi	avoir
plus	ADV	plus
de	PRP	de
part	NOM	part
qu'	KON	que
aucun	PRO:IND	aucun
autre	ADJ	autre
?	SENT	?
D'	PRP	de
un	DET:ART	un
bonheur	NOM	bonheur
qui	PRO:REL	qui
pour	KON	pour
moi	PRO:PER	moi
n'	ADV	ne
a	VER:pres	avoir
rien	ADV	rien
qui	PRO:REL	qui
soit	KON	soit
si	ADV	si
doux	ADJ	doux
Que	VER:futu	Que
l'	DET:ART	le
espoir	NOM	espoir
de	PRP	de
pouvoir	NOM	pouvoir
l'	PRO:PER	la|le
étendre	VER:infi	étendre
jusqu'	PRP	jusque
à	PRP	à
vous	PRO:PER	vous
?	SENT	?
De	PRP	de
vous	PRO:PER	vous
faire	VER:infi	faire
épouser	VER:infi	épouser
une	DET:ART	un
princesse	NOM	princesse
aimable	ADJ	aimable
...	PUN	...
Ah	NAM	Ah
!	SENT	!
Cessez	VER:pres	cesser
de	PRP	de
flatter	VER:infi	flatter
un	DET:ART	un
ami	NOM	ami
misérable	ADJ	misérable
;	PUN	;
Philonoé	NOM	Philonoé
mérite	NOM	mérite
et	KON	et
peut	VER:pres	pouvoir
choisir	VER:infi	choisir
un	DET:ART	un
roi	NOM	roi
,	PUN	,
Et	VER:ppre	Et
son	DET:POS	son
choix	NOM	choix
est	VER:pres	être
un	DET:ART	un
bien	NOM	bien
qui	PRO:REL	qui
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
fait	VER:pper	faire
pour	PRP	pour
moi	PRO:PER	moi
.	SENT	.
Mais	KON	mais
quel	PRO:REL	quel
dessein	NOM	dessein
étrange	ADJ	étrange
à	PRP	à
partir	VER:infi	partir
vous	PRO:PER	vous
engage	VER:pres	engager
?	SENT	?
Quel	PRO:REL	quel
soin	NOM	soin
...	PUN	...
Dispensez	VER:pres	dispenser
-moi	PRO:PER	moi
d'	PRP	de
en	PRO:PER	en
dire	VER:infi	dire
davantage	ADV	davantage
;	PUN	;
Je	PRO:PER	je
vous	PRO:PER	vous
quitte	VER:pres	quitter
,	PUN	,
il	PRO:PER	il
le	PRO:PER	le
faut	VER:pres	falloir
,	PUN	,
et	KON	et
pour	PRP	pour
comble	NOM	comble
d'	PRP	de
ennuis	NOM	ennui
,	PUN	,
Vous	VER:pres	Vous
dire	VER:infi	dire
adieu	NOM	adieu
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
est	VER:pres	être
tout	PRO:IND	tout
ce	PRO:DEM	ce
que	PRO:REL	que
je	PRO:PER	je
puis	ADV	puis
.	SENT	.
Est	VER:pres	être
-ce	PRO:DEM	ce
là	ADV	là
tout	ADV	tout
le	DET:ART	le
prix	NOM	prix
d'	PRP	de
une	DET:ART	un
amitié	NOM	amitié
si	ADV	si
rare	ADJ	rare
?	SENT	?
Béllérophon	NAM	Béllérophon
ainsi	KON	ainsi
d'	PRP	de
avec	PRP	avec
moi	PRO:PER	moi
se	PRO:PER	se
sépare	VER:pres	séparer
?	SENT	?
Il	PRO:PER	il
a	VER:pres	avoir
quelque	PRO:IND	quelque
secret	NOM	secret
qu'	PRO:REL	que
il	PRO:PER	il
refuse	VER:pres	refuser
à	PRP	à
ma	DET:POS	mon
foi	NOM	foi
?	SENT	?
Il	PRO:PER	il
me	PRO:PER	me
quitte	VER:pres	quitter
,	PUN	,
il	PRO:PER	il
me	PRO:PER	me
fuit	VER:pres	fuir
,	PUN	,
sans	PRP	sans
me	PRO:PER	me
dire	VER:infi	dire
pourquoi	ADV	pourquoi
?	SENT	?
N'	ADV	ne
en	PRO:PER	en
prenez	VER:pres	prendre
point	ADV	point
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
de	PRP	de
soupçon	NOM	soupçon
qui	PRO:REL	qui
m'	PRO:PER	me
offense	VER:pres	offenser
;	PUN	;
C'	NAM	C'
est	VER:pres	être
votre	DET:POS	votre
intérêt	NOM	intérêt
seul	ADJ	seul
qui	PRO:REL	qui
m'	PRO:PER	me
engage	VER:pres	engager
au	PRP:det	au
silence	NOM	silence
;	PUN	;
Accablé	VER:pper	accabler
de	PRP	de
chagrins	NOM	chagrin
qui	PRO:REL	qui
me	PRO:PER	me
font	VER:pres	faire
éloigner	VER:infi	éloigner
.	SENT	.
Je	PRO:PER	je
vous	PRO:PER	vous
les	PRO:PER	la|le
cache	VER:pres	cacher
exprès	ADV	exprès
pour	KON	pour
vous	PRO:PER	vous
les	PRO:PER	la|le
épargner	VER:infi	épargner
.	SENT	.
Jouissez	VER:pres	jouir
d'	PRP	de
un	DET:ART	un
bonheur	NOM	bonheur
,	PUN	,
et	KON	et
tranquille	ADJ	tranquille
,	PUN	,
et	KON	et
durable	ADJ	durable
,	PUN	,
N'	NAM	N'
entrez	VER:pres	entrer
point	ADV	point
,	PUN	,
s'	PRO:PER	se
il	PRO:PER	il
se	PRO:PER	se
peut	VER:pres	pouvoir
,	PUN	,
dans	PRP	dans
tout	PRO:IND	tout
ce	PRO:DEM	ce
qui	PRO:REL	qui
m'	PRO:PER	me
accable	VER:pres	accabler
,	PUN	,
Goûtez	VER:pres	goûter
en	PRP	en
paix	NOM	paix
les	DET:ART	le
biens	NOM	bien
qui	PRO:REL	qui
vont	VER:pres	aller
combler	VER:infi	combler
vos	DET:POS	votre
voeux	NOM	vœu
,	PUN	,
Et	NOM	Et
ne	ADV	ne
vous	PRO:PER	vous
chargés	VER:pper	charger
point	ADV	point
des	PRP:det	du
maux	NOM	mal
d'	PRP	de
un	DET:ART	un
malheureux	NOM	malheureux
.	SENT	.
En	PRO:PER	en
pouvez	VER:pres	pouvoir
-vous	PRO:PER	vous
avoir	VER:infi	avoir
sans	PRP	sans
que	KON	que
je	PRO:PER	je
les	PRO:PER	la|le
partage	VER:pres	partager
?	SENT	?
Entre	PRP	entre
de	PRP	de
vrais	ADJ	vrai
amis	NOM	ami
toute	PRO:IND	tout
réserve	NOM	réserve
outrage	NOM	outrage
,	PUN	,
Et	VER:ppre	Et
la	DET:ART	le
tendre	ADJ	tendre
amitié	NOM	amitié
doit	VER:pres	devoir
rendre	VER:infi	rendre
plus	ADV	plus
jaloux	ADJ	jaloux
,	PUN	,
Du	NAM	Du
partage	VER:pres	partager
des	PRP:det	du
maux	NOM	mal
,	PUN	,
que	KON	que
des	PRP:det	du
biens	NOM	bien
les	DET:ART	le
plus	ADV	plus
doux	ADJ	doux
.	SENT	.
Ne	ADV	ne
me	PRO:PER	me
dérobez	VER:pres	dérober
point	ADV	point
la	DET:ART	le
part	NOM	part
que	PRO:REL	que
j'	PRO:PER	je
y	PRO:PER	y
dois	VER:pres	devoir
prendre	VER:infi	prendre
.	SENT	.
Pouvez	VER:pres	pouvoir
-vous	PRO:PER	vous
contre	PRP	contre
mou	ADJ	mou
si	KON	si
longtemps	ADV	longtemps
vous	PRO:PER	vous
défendre	VER:infi	défendre
?	SENT	?
Encore	ADV	encore
un	DET:ART	un
coup	NOM	coup
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
gardez	VER:pres	garder
de	PRP	de
trop	ADV	trop
savoir	VER:infi	savoir
,	PUN	,
Et	NOM	Et
ne	ADV	ne
vous	PRO:PER	vous
servez	VER:pres	servir
pas	ADV	pas
de	PRP	de
