Arrêtons	VER:pres	arrêter
un	DET:ART	un
moment	NOM	moment
.	SENT	.
La	DET:ART	le
pompe	NOM	pompe
de	PRP	de
ces	PRO:DEM	ce
lieux	NOM	lieu
,	PUN	,
Je	PRO:PER	je
le	PRO:PER	le
vois	VER:pres	voir
bien	ADV	bien
,	PUN	,
Arsace	NAM	Arsace
,	PUN	,
est	VER:pres	être
nouvelle	ADJ	nouveau
à	PRP	à
tes	DET:POS	ton
yeux	NOM	œil
.	SENT	.
Souvent	ADV	souvent
ce	PRO:DEM	ce
cabinet	NOM	cabinet
superbe	ADJ	superbe
et	KON	et
solitaire	ADJ	solitaire
,	PUN	,
Des	VER:simp	Des
secrets	ADJ	secret
de	PRP	de
Titus	NAM	Titus
est	VER:pres	être
le	DET:ART	le
dépositaire	NOM	dépositaire
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
ici	ADV	ici
quelquefois	ADV	quelquefois
qu'	KON	que
il	PRO:PER	il
se	PRO:PER	se
cache	VER:pres	cacher
à	PRP	à
sa	DET:POS	son
cour	NOM	cour
,	PUN	,
Lorsqu'	NAM	Lorsqu'
il	PRO:PER	il
vient	VER:pres	venir
à	PRP	à
la	DET:ART	le
reine	NOM	reine
expliquer	VER:infi	expliquer
son	DET:POS	son
amour	NOM	amour
.	SENT	.
De	PRP	de
son	DET:POS	son
appartement	NOM	appartement
cette	PRO:DEM	ce
porte	NOM	porte
est	VER:pres	être
prochaine	ADJ	prochain
,	PUN	,
Et	VER:simp	Et
cette	PRO:DEM	ce
autre	ADJ	autre
conduit	VER:pres	conduire
dans	PRP	dans
celui	PRO:DEM	celui
de	PRP	de
la	DET:ART	le
reine	NOM	reine
.	SENT	.
Va	VER:pres	aller
chez	PRP	chez
elle	PRO:PER	elle
.	SENT	.
Dis	VER:pres	dire
-lui	PRO:PER	lui
qu'	PRO:REL	que
importun	ADJ	importun
à	PRP	à
regret	NOM	regret
,	PUN	,
J'	NAM	J'
ose	VER:pres	oser
lui	PRO:PER	lui
demander	VER:infi	demander
un	DET:ART	un
entretien	NOM	entretien
secret	ADJ	secret
.	SENT	.
Vous	PRO:PER	vous
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
importun	ADJ	importun
?	SENT	?
Vous	PRO:PER	vous
cet	PRO:DEM	ce
ami	NOM	ami
fidèle	ADJ	fidèle
,	PUN	,
Qu'	NAM	Qu'
un	DET:ART	un
soin	NOM	soin
si	ADV	si
généreux	ADJ	généreux
intéresse	VER:pres	intéresser
pour	PRP	pour
elle	PRO:PER	elle
?	SENT	?
Vous	PRO:PER	vous
,	PUN	,
cet	PRO:DEM	ce
Antiochus	VER:simp	Antiochus
,	PUN	,
son	DET:POS	son
amant	NOM	amant
autrefois	ADV	autrefois
;	PUN	;
Vous	NAM	Vous
,	PUN	,
que	KON	que
l'	DET:ART	le
Orient	NAM	Orient
compte	VER:pres	compter
entre	PRP	entre
ses	DET:POS	son
plus	ADV	plus
grands	ADJ	grand
rois	NOM	roi
:	PUN	:
Quoi	PRO	quoi
!	SENT	!
Déjà	ADV	déjà
de	PRP	de
Titus	NAM	Titus
épouse	VER:pres	épouser
en	PRP	en
espérance	NOM	espérance
,	PUN	,
Ce	VER:simp	Ce
rang	NOM	rang
entre	PRP	entre
elle	PRO:PER	elle
et	KON	et
vous	PRO:PER	vous
met-il	VER:cond	met-il
tant	ADV	tant
de	PRP	de
distance	NOM	distance
?	SENT	?
Va	VER:pres	aller
,	PUN	,
dis	VER:pres	dire
-je	PRO:PER	je
,	PUN	,
et	KON	et
sans	PRP	sans
vouloir	VER:infi	vouloir
te	PRO:PER	te
charger	VER:infi	charger
d'	PRP	de
autres	ADJ	autre
soins	NOM	soin
,	PUN	,
Vois	NAM	Vois
si	KON	si
je	PRO:PER	je
puis	ADV	puis
bientôt	ADV	bientôt
lui	PRO:PER	lui
parler	VER:infi	parler
sans	PRP	sans
témoins	NOM	témoin
.	SENT	.
Hé	INT	hé
bien	ADV	bien
,	PUN	,
Antiochus	NAM	Antiochus
,	PUN	,
es	VER:pres	être
-tu	PRO:PER	tu
toujours	ADV	toujours
le	DET:ART	le
même	ADJ	même
?	SENT	?
