Reference	LeftContext	Pivot	RightContext
Alexandre, 3	CLÉOFILE. Quoi ? Vous allez combattre	un roi	dont la puissance Semble forcer le ciel à prendre sa défense ;
Alexandre, 6	. TAXILE. Voulez -vous que frappé d'	une crainte	si basse, Je présente la tête à le joug qui nous
Alexandre, 8	l'univers, Aille esclave empressé lui demander	de les fers	? Loin de s'épouvanter à l'aspect de sa gloire,
Alexandre, 18	croit l'âme trop généreuse Pour écouter jamais	une offre	si honteuse, Il cherche une vertu qui lui résiste moins,
Alexandre, 18	jamais une offre si honteuse, Il cherche	une vertu	qui lui résiste moins, Et peut-être il me croit plus digne
Alexandre, 20	. Dites, sans l'accuser de chercher	un esclave	, Que de ses ennemis il vous croit le_plus brave, Et
Alexandre, 20	main, Il se promet de le reste	un triomphe	certain. Son choix à votre nom n'imprime point de taches
Alexandre, 21	, Son amitié n'est point le partage	de les lâches	; Quoiqu'il brûle de voir_tout l'univers soumis, On ne voit
Alexandre, 23	votre gloire, Que ne m'épargniez -vous	une tache	si noire ? Vous connaissez les soins qu'il me rend tous
Alexandre, 33	liberté que détruisent ses charmes, Elle rougit	de les fers	qu'on apporte en ces lieux, Et n'y saurait souffrir
Alexandre, 45	les progrès d'Alexandre : Elle se fait	un dieu	de ce prince charmant, Et vous doutez encor qu'elle en
Alexandre, 45	Et vous doutez encor qu'elle en fasse	un amant	? TAXILE. Je tâchais d'en douter, cruelle Cléofile.
Alexandre, 52	ses yeux. Dites -lui qu'Axiane est	une beauté	fière, Telle à tous les mortels qu'elle est à votre
Alexandre, 55	soins impuissants. Pourquoi dans les combats chercher	une conquête	, Qu'à vous livrer lui-même Alexandre s'apprête ? Ce n'
Alexandre, 59	être, Les_Grecs et les Persans vous enseignent	un maître	. Vous trouverez cent rois compagnons de vos fers, Porus y
Alexandre, 3	, et nos moindres guerriers Se promettent déjà	de les moissons	de lauriers. J'ai vu de rang en rang cette ardeur
Alexandre, 4	rang en rang cette ardeur répandue, Par	de les cris	généreux éclater à ma vue : Ils se plaignent qu'au_lieu_d'éprouver
Alexandre, 4	éprouver leur grand coeur, L'oisiveté d'	un camp	consume leur vigueur. Laisserons -nous languir tant_d'illustres courages ? Notre
Alexandre, 14	main entrer dans nos États, Pour attaquer	de les rois	qui ne l'offensaient pas ? Nous l'aurons vu piller de
Alexandre, 15	offensaient pas ? Nous l'aurons vu piller	de les provinces	entières, Du sang de nos sujets faire enfler nos rivières,
Alexandre, 15	à nous l'abandonner, J'attendrai qu'	un tyran	daigne nous pardonner ? TAXILE. Ne dites point, Seigneur,
Alexandre, 18	, que le ciel l'abandonne. D'	un soin	toujours égal sa faveur l'environne : Un roi qui fait trembler
Alexandre, 18	États sous ses lois, N'est pas	un ennemi	que méprisent les rois. PORUS. Loin de le mépriser j'
Alexandre, 22	autels Que lui dresse en tremblant le reste	de les mortels	. C'est ainsi_qu'Alexandre estima tous ces princes, Dont sa
Alexandre, 27	cet orgueil qui causa son trépas, Avait	un fondement	que vos mépris n'ont pas. La valeur d'Alexandre à_peine
Alexandre, 29	était encore enfermé dans la nue. Dans	un calme	profond Darius endormi Ignorait jusqu'à le nom d'un si faible ennemi
Alexandre, 30	vit abandonnée ; Il se vit terrassé d'	un bras	victorieux, Et la foudre en tombant lui fit ouvrir les yeux
Alexandre, 38	hommage on peut le satisfaire. Flattons par	de les respects	ce prince ambitieux, Que son bouillant orgueil appelle en d'autres
Alexandre, 39	appelle en d'autres lieux. C'est	un torrent	qui passe, et dont la violence Sur tout ce qui l'
Alexandre, 40	univers. Que sert de l'irriter par	un orgueil	sauvage ? D'un favorable accueil honorons son passage, Et lui
Alexandre, 41	accueil honorons son passage, Et lui cédant	de les droits	que nous reprendrons bien, Rendons-lui de les devoirs qui ne nous
