Reference	LeftContext	Pivot	RightContext
Alexandre, 8	l'univers, Aille esclave empressé lui demander	de les fers	? Loin de s'épouvanter à l'aspect de sa gloire,
Alexandre, 21	, Son amitié n'est point le partage	de les lâches	; Quoiqu'il brûle de voir_tout l'univers soumis, On ne voit
Alexandre, 33	liberté que détruisent ses charmes, Elle rougit	de les fers	qu'on apporte en ces lieux, Et n'y saurait souffrir
Alexandre, 3	, et nos moindres guerriers Se promettent déjà	de les moissons	de lauriers. J'ai vu de rang en rang cette ardeur
Alexandre, 4	rang en rang cette ardeur répandue, Par	de les cris	généreux éclater à ma vue : Ils se plaignent qu'au_lieu_d'éprouver
Alexandre, 14	main entrer dans nos États, Pour attaquer	de les rois	qui ne l'offensaient pas ? Nous l'aurons vu piller de
Alexandre, 15	offensaient pas ? Nous l'aurons vu piller	de les provinces	entières, Du sang de nos sujets faire enfler nos rivières,
Alexandre, 22	autels Que lui dresse en tremblant le reste	de les mortels	. C'est ainsi_qu'Alexandre estima tous ces princes, Dont sa
Alexandre, 38	hommage on peut le satisfaire. Flattons par	de les respects	ce prince ambitieux, Que son bouillant orgueil appelle en d'autres
Alexandre, 41	accueil honorons son passage, Et lui cédant	de les droits	que nous reprendrons bien, Rendons-lui de les devoirs qui ne nous
Alexandre, 41	les droits que nous reprendrons bien, Rendons-lui	de les devoirs	qui ne nous coûtent rien. PORUS. Qui ne nous coûtent
Alexandre, 50	, Souvent dans la poussière il leur cherche	de les rois	. Mais ces indignes soins touchent peu mon courage, Votre seul
Alexandre, 65	TAXILE. Ces conseils ne plairont qu'à	de les âmes	hautaines. PORUS. Ils plairont à de les rois, et
Alexandre, 67	âmes hautaines. PORUS. Ils plairont à	de les rois	, et peut-être à de les reines. TAXILE. La reine
Alexandre, 67	à de les rois, et peut-être à	de les reines	. TAXILE. La reine, à vous ouïr, n'a
Alexandre, 69	reine, à vous ouïr, n'a	de les yeux	que pour vous. PORUS. Un esclave est pour elle un
Alexandre, 81	l'Asie. Je l'attirais ici par	de les voeux	si puissants, Que je portais envie à le bonheur de les
Alexandre, 81	, Que je portais envie à le bonheur	de les Persans	. Et maintenant encor s'il trompait mon courage, Pour sortir
Alexandre, 88	si noble entretien, Et vos coeurs rougiraient	de les faiblesses	de le mien. AXIANE. Quoi, Taxile me fuit ?
Alexandre, 52	bien m'obéir, N'est pas entre	de les mains	qui le puissent trahir. Non, je ne prétends pas jalouse
Alexandre, 55	esprit de Taxile ; Montrez en sa faveur	de les sentiments	plus doux, Je le vais engager à combattre pour vous.
Alexandre, 15	coeurs interrompu, troublé, Sous le faix	de les lauriers	est bientôt accablé. Tandis_que ce héros me tint sa prisonnière,
Alexandre, 36	ses armes. Il présente la paix à	de les rois	aveuglés, Et retire la main qui les eût accablés. Il
Alexandre, 38	d'un si triste avantage, Et disposez	de les rois	qu'épargne son courroux, À recevoir un bien_qu'ils ne doivent
Alexandre, 46	et de le Scythe, Et tout fiers	de les lauriers	dont il les a chargés, Vaincront à son exemple, ou
Alexandre, 5	vient point ici, souillé de le sang	de les princes	, D'un triomphe barbare effrayer vos provinces ; Et cherchant à
Alexandre, 5	d'une triste splendeur, Sur le tombeau	de les rois	élever sa grandeur. Mais vous-mêmes trompés d'un vain espoir de
Alexandre, 13	doit à les illustres exemples, Vous adorez	de les dieux	qui nous doivent leurs temples. De les héros qui chez vous
Alexandre, 14	De les héros qui chez vous passaient pour	de les mortels	, En venant parmi nous, ont trouvé de les autels.
Alexandre, 14	, En venant parmi nous, ont trouvé	de les autels	. Mais en_vain l'on prétend chez de les peuples si braves,
Alexandre, 15	les autels. Mais en_vain l'on prétend chez	de les peuples	si braves, Au_lieu_d'adorateurs, se faire de les esclaves,
Alexandre, 15	si braves, Au_lieu_d'adorateurs, se faire	de les esclaves	, Croyez-moi, quelque éclat qui les puisse toucher, Ils refusent
Alexandre, 17	pas temps, Seigneur, qu'il cherche	de les amis	? Tout ce peuple captif, qui tremble au_nom_d'un maître,
Alexandre, 27	Qu'il n'avait avec moi, dans	de les desseins	si grands, Engagé que de les rois ennemis de les tyrans
Alexandre, 27	de les desseins si grands, Engagé que	de les rois	ennemis de les tyrans. Mais puisqu'un roi flattant la main qui
Alexandre, 27	grands, Engagé que de les rois ennemis	de les tyrans	. Mais puisqu'un roi flattant la main qui nous menace, Parmi
Alexandre, 56	, au_lieu_de se défendre, N'opposait que	de les morts	à le grand coeur d'Alexandre ? Les_autres éblouis de ses moindres
