Reference	LeftContext	Pivot	RightContext
Alexandre, 33	charmes, Elle rougit de les fers qu'on apporte	en ces lieux	, Et n'y saurait souffrir de tyrans que ses yeux. Il faut
Alexandre, 74	Non, non, sans vous flatter, avouez qu'	en ce jour	Vous suivez votre haine, et non pas votre amour. PORUS. Hé
Alexandre, 82	maintenant encor s'il trompait mon courage, Pour sortir	de ces lieux	, s'il cherchait un passage, Vous me verriez moi-même armé pour l'
Alexandre, 43	serait ennuyeux, Et c'est vous retenir trop longtemps	en ces lieux	. PORUS. Ah ! Madame, arrêtez, et connaissez ma flamme,
Alexandre, 40	heureuse faiblesse, Ce coeur qui me promet tant_d'estime	en ce jour	Me pourrait bien encor promettre un_peu_d'amour. Contre tant_de soupirs peut -il bien
Alexandre, 2	que mon coeur. AXIANE. Quoi, Madame,	en ces lieux	on me tient enfermée ? Je ne puis à le combat voir marcher mon
Alexandre, 11	pourriez -vous ailleurs éviter la tempête ? Un plein calme	en ces lieux	assure votre tête. Tout est tranquille... AXIANE. Et c'est cette
Alexandre, 30	Si vous cherchez Porus, pourquoi m'abandonner ? Alexandre	en ces lieux	pourra le ramener. Permettez que veillant à le soin de votre tête,
Alexandre, 41	? Vous croyez donc qu'à moi-même barbare J'abandonne	en ces lieux	une beauté si rare ? Mais vous-même plutôt voulez -vous renoncer Au trône de
Alexandre, 45	rives ? Qu'ai -je fait, pour venir accabler	en ces lieux	Un héros sur qui seul j'ai pu tourner les yeux ? A -il
Alexandre, 13	ferment son passage. Encor si je pouvais en sortant	de ces lieux	, Lui montrer Axiane, et mourir à ses yeux. Mais Taxile m'
Andromaque, 50	m'entraîne, J'aime, je viens chercher Hermione	en ces lieux	, La fléchir, l'enlever, ou mourir à ses yeux. Toi
Andromaque, 7	cet amour payé de_trop d'ingratitude, Qui me rend	en ces lieux	sa présence si rude. Quelle honte pour moi   ! Quel triomphe pour
Andromaque, 69	et venez -y vous-même. Voulez -vous demeurer pour otage	en ces lieux	  ? Venez dans tous les coeurs faire parler vos yeux. Faisons de
Andromaque, 81	m'expliquer. Vous agirez ensuite. Vous savez qu'	en ces lieux	mon devoir m'a conduite. Mon devoir m'y retient, et je
Andromaque, 10	prince de vue. Mais un heureux destin le conduit	en ces lieux	. Parlons. À tant_d'attraits, Amour, ferme ses yeux. PYRRHUS_Je
Andromaque, 10	. Il semblait qu'un spectacle si doux N'attendît	en ces lieux	qu'un témoin tel que vous. Vous y représentez tous les Grecs et
Andromaque, 23	. Et quelle est sa pensée   ? Attend -elle	en ce jour	Que je lui laisse un fils pour nourrir son amour   ? PHOENIX_Sans_doute.
Andromaque, 3	? Ne m'avais -tu pas dit qu'elle était	en ces lieux	  ? PHOENIX_Je le croyais. ANDROMAQUE, à Céphise. Tu vois le
Andromaque, 5	donner de les armes. Je croyais apporter plus_de haine	en ces lieux	. Mais, Madame, du_moins tournez vers moi les yeux   : Voyez
Andromaque, 62	yeux. Je ne te retiens plus, sauve -toi	de ces lieux	. Va lui jurer la foi, que tu m'avais jurée. Va
Andromaque, 3	, qui cherche à se venger. Elle n'est	en ces lieux	que trop bien appuyée, La querelle de les Grecs à la sienne est
Andromaque, 10	le peuple épouvanté j'ai traversé la presse Pour venir	de ces lieux	enlever ma princesse, Et regagner le port, où bientôt nos amis Viendront
Athalie, 5	fut donnée. Que les temps sont changés ! Sitôt_que	de ce jour	La trompette sacrée annonçait le retour, Du_Temple orné partout de festons magnifiques,
Athalie, 92	et vais me joindre à la troupe fidèle Qu'attire	de ce jour	la pompe solennelle. JOAD. Les temps sont accomplis, Princesse, il
Athalie, 21	UNE_AUTRE. Ô mont de Sinaï, conserve la mémoire	De ce jour	à_jamais auguste et renommé, Quand sur ton sommet enflammé Dans un nuage épais
Athalie, 30	formidable. Reine, sors, a -il dit,	de ce lieu	redoutable, D'où te bannit ton sexe et ton impiété. Viens -tu
Athalie, 16	ai su soulever contre cet assassin, Il me laisse	en ces lieux	souveraine maîtresse. Je jouissais en paix de le fruit de ma sagesse.
Athalie, 92	ATHALIE. J'entends. Mais tout ce peuple enfermé	en ce lieu	, À quoi s'occupe -il ? JOAS. Il loue, il bénit
Athalie, 7	défendent l'entrée. Qui cherchez -vous ? Mon père	en ce jour	solennel De l'idolâtre impur fuit l'aspect criminel. Et devant le Seigneur
Athalie, 8	cet ennemi de Dieu_Vient-il infecter l'air qu'on respire	en ce lieu	? MATHAN. On reconnaît Joad à cette violence. Toutefois il devrait montrer
Athalie, 56	. Jérusalem, objet de ma douleur, Quelle main	en ce jour	t'a ravi tous tes charmes ? Qui changera mes yeux en deux sources
Athalie, 3	, Les parfums, et les sacrifices Qu'on devait	en ce jour	offrir sur tes autels ? UNE_FILLE_DU_CHOEUR. Quel spectacle à nos yeux timides !
