Reference	LeftContext	Pivot	RightContext
Alexandre, 14	. Pourquoi suis -je le seul que son	courroux	ménage ? De tous ceux que l'Hydaspe oppose à son courage
Alexandre, 71	Un esclave est pour elle un objet de	courroux	. TAXILE. Mais croyez -vous, Seigneur, que l'amour
Alexandre, 38	livrer sans secours, sans asile, Au	courroux	d'Alexandre, à l'amour de Taxile, Qui me traitant
Alexandre, 38	Et disposez de les rois qu'épargne son	courroux	, À recevoir un bien_qu'ils ne doivent qu'à vous.
Alexandre, 6	bras irriter la Victoire ; Et lorsque son	courroux	demeure suspendu, Princes, contentez -vous de l'avoir attendu.
Alexandre, 35	Vit -on jamais chez lui nos peuples en	courroux	Désoler un pays inconnu parmi nous ? Faut -il que tant_d'États
Alexandre, 8	, Et leur faire sentir par un juste	courroux	, Qu'ils n'ont point d'ennemi plus funeste que vous
Alexandre, 9	éviter la poursuite, Et de son vain	courroux	trop tard désabusé, Souhaiter le secours qu'il avait refusé.
Alexandre, 4	vous rendront le_plus fort. Et cet âpre	courroux	, quoi_qu'elle en puisse dire, Ne s'obstinera point à
Alexandre, 5	D'une ingrate à ce prix fléchissez le	courroux	. Maître de deux États, arbitre de les siens mêmes,
Alexandre, 47	entières, Et contre votre gloire excité leur	courroux	? Hélas ! Nous l'admirions sans en être jaloux. Contents
Alexandre, 56	, Vous voulez que saisi d'un indigne	courroux	En reproches honteux j'éclate contre vous. Peut-être espérez -vous,
Alexandre, 15	. Je vais m'offrir à servir son	courroux	Même contre Alexandre, et_même contre vous. Je sais de quelle
Alexandre, 9	Allons. N'attendons pas dans un lâche	courroux	Qu'un si grand différend se termine sans nous. ALEXANDRE.
Alexandre, 24	, Qui retiendra, Seigneur, son injuste	courroux	? Mon âme loin de vous languira solitaire. Hélas ! S'
Alexandre, 39	séduire ! Déjà mon coeur crédule oubliant son	courroux	Admirait de les vertus qui ne sont point en vous. Armez
Alexandre, 38	  » Porus à cette voix ranimant son	courroux	, A relevé ce bras lassé de tant_de coups. Et cherchant
Alexandre, 60	combat que venait -il chercher ? À le	courroux	de le vainqueur venait -il l'arracher ? Il venait accabler,
Alexandre, 106	, De la soeur de Taxile oubliez le	courroux	. AXIANE. Oui, Madame, régnez, et souffrez que
Andromaque, 1	une face nouvelle   : Et déjà son	courroux	semble s'être adouci, Depuis_qu'elle a pris soin de nous
Andromaque, 28	tous ses charmes, Tu sais de quel	courroux	mon coeur alors épris Voulut, en l'oubliant, punir tous
Andromaque, 35	meurtre, et confondaient nos coups. Mon	courroux	à les vaincus ne fut que trop sévère. Mais que ma
Andromaque, 36	d'Achille. PYRRHUS_Hé quoi   ? Votre	courroux	n'a -il pas eu son cours   ? Peut -on haïr
Andromaque, 34	, Oreste si longtemps l'objet de leur	courroux	. HERMIONE_Oui, c'est vous dont l'amour naissant avec leurs
Andromaque, 5	ai fait. Je ne condamne plus un	courroux	légitime, Et l'on vous va, Seigneur, livrer votre victime
Andromaque, 4	! Je vous reconnais, et ce juste	courroux	Ainsi_qu'à tous les Grecs, Seigneur vous rend à vous.
Andromaque, 28	Sa beauté la rassure, et malgré mon	courroux	, L'orgueilleuse m'attend encore à ses genoux. Je la
Andromaque, 17	Hermione. À ses regards surtout cachez votre	courroux	. Ô dieux   ! En cet état pourquoi la cherchiez -vous
Andromaque, 43	le croyez. ORESTE_Hé quoi   ? Ce	courroux	enflammé Contre un ingrat... PYLADE_Jamais il ne fut plus aimé.
Andromaque, 64	malheurs qui condamnent les dieux. Méritons leur	courroux	, justifions leur haine, Et que le fruit de le crime
Andromaque, 65	erreur veux -tu toujours sur toi Détourner un	courroux	qui ne cherche que moi   ? Assez et trop longtemps mon
Andromaque, 1	triste entretien. HERMIONE_Attendais-tu, Cléone, un	courroux	si modeste   ? CLÉONE_La douleur qui se tait n'en est
Andromaque, 11	de dix ans de misère, Les_Troyens en	courroux	menaçaient votre mère, J'ai su de mon Hector lui procurer
Andromaque, 17	est lui qui de Pyrrhus fait agir le	courroux	. S'il faut fléchir Pyrrhus, qui le peut mieux que
Andromaque, 44	ensemble. Jouissez à_loisir d'un si noble	courroux	. Allons, Phoenix. ANDROMAQUE_Allons rejoindre mon époux. CÉPHISE_Madame...
Andromaque, 11	? Déjà contre les Grecs plein_d'un noble	courroux	, Le soin de votre fils le touche autant_que vous, Il
Andromaque, 34	n'a promis de faire. Sur le	courroux	de les Grecs je m'en repose encor, Leur haine va
Andromaque, 47	pardonne. Doutez jusqu'à sa mort d'un	courroux	incertain, S'il ne meurt aujourd'hui, je puis l'aimer
Andromaque, 50	  ? Comment puis -je sitôt servir votre	courroux	  ? Quel chemin jusqu'à lui peut conduire mes coups   ?
Andromaque, 17	moi, loin de contraindre un si juste	courroux	, Il me soulagera peut-être autant_que vous. Donnez -moi tous les
Andromaque, 20	, ne révoquons point l'arrêt de mon	courroux	. Qu'il périsse. Aussi_bien il ne vit plus pour nous
Andromaque, 36	la Grèce, il craint l'univers en	courroux	, Mais il se craint, dit -il, soi-même plus_que tous
Athalie, 30	je puis douter, Que sur vous son	courroux	ne soit prêt d'éclater, Et que de Jézabel la fille
Athalie, 37	ciel en soit béni. Mais ce secret	courroux	, Cette oisive vertu, vous en contentez -vous ? La foi
Athalie, 28	de_toutes_parts. Mon père... Ah, quel	courroux	animait ses regards ! Moïse à Pharaon parut moins formidable. Reine
Athalie, 44	ai cru que de les présents calmeraient son	courroux	, Que ce Dieu, quel qu'il soit, en deviendrait
Athalie, 5	menacée, Elle allait immoler Joad à son	courroux	, Et dans ce temple enfin placer Baal et vous. Vous
Athalie, 14	sais quel charme, J'ai trouvé son	courroux	chancelant, incertain, Et déjà remettant sa vengeance à demain.
Athalie, 7	tu lances, Grand_Dieu, dans ton juste	courroux	? N'es -tu plus le Dieu jaloux ? N'es -tu
