Reference	LeftContext	Pivot	RightContext
Alexandre, 54	à la victoire. Contre un fier ennemi	précipitez vos pas	, Mais de vos alliés ne vous séparez pas. Ménagez -les
Alexandre, 19	longue absence, Vous sauriez que l'amour	précipitant ses pas	, Il ne cherchait que vous en courant à les combats.
Alexandre, 49	États, Et que le seul Taxile en	détourne ses pas	. Mais les voici. CLÉOFILE. Seigneur, achevez votre ouvrage
Alexandre, 67	États, Au trône de Cyrus lui fit	porter ses pas	, Et de le plus ferme empire ébranlant les colonnes, Attaquer
Athalie, 23	portes s'est rangée. Tous doivent à_la_fois	précipiter leurs pas	, Et crier pour signal : vive le roi Joas. Mais
Athalie, 46	? Lâche_Abner, dans quel piège as -tu	conduit mes pas	? ABNER. Reine, Dieu m'est témoin... ATHALIE.
Bajazet, 22	faire. Quand mes pleurs vers Roxane ont	rappelé ses pas	, Je n'ai point prétendu qu'il ne m'obéît pas
Bajazet, 7	vous surprît pas Dans votre appartement j'ai	retenu ses pas	. ROXANE_Quel malheur imprévu vient encor me confondre ? Quel peut être
Bajazet, 52	partie ? Va. Mais nous-même allons,	précipitons nos pas	. Qu'il me voie attentive à le soin de son trépas
Bérénice, 27	États, Depuis trois ans dans Rome elle	arrête vos pas	, Et lorsque cette reine assurant sa conquête Vous attend pour témoin
Bérénice, 61	enfin succombant à ma mélancolie, Mon désespoir	tourna mes pas	vers l'Italie. Le sort m'y réservait le dernier de
Bérénice, 3	) Votre deuil est fini, rien n'	arrête vos pas	, Vous êtes seul enfin, et ne me cherchez pas.
Bérénice, 5	-je pas, Si_Titus malgré moi n'eût	arrêté mes pas	? Sans_doute, il faut partir. Continuons, Arsace. Elle
Bérénice, 71	vous craindre sans_cesse, Et sans_cesse veiller à	retenir mes pas	, Que vers vous à toute heure entraînent vos appas. Que
Bérénice, 8	avez -vous pas Ordonné dès tantôt qu'on	observe ses pas	? Ses femmes à toute heure autour_d'elle empressées Sauront la détourner
Bérénice, 3	trouver ce prince trop fidèle ? Ciel,	conduisez mes pas	, et secondez mon zèle, Faites qu'en ce moment je
Bérénice, 32	Oui, Madame, vers vous j'ai	rappelé ses pas	. Mes soins ont réussi, je ne m'en repens pas
Esther, 5	le Seigneur sous son aile sacrée A donc	conduit vos pas	, et caché votre entrée ? Mais d'où vient cet air
Esther, 47	qui sait, lorsque à le trône il	conduisit vos pas	, Si pour sauver son peuple il ne vous gardait pas ?
Iphigénie, 4	la confie. Loin de ces lieux cruels	précipitez ses pas	. Mes gardes vous suivront commandés par Arcas. Je veux bien
Iphigénie, 13	amante. Lui-même il m'a chargé de	conduire vos pas	. Ne craignez rien. CLYTEMNESTRE. Moi, craindre ! ah
Mithridate, 33	États ? Me sera -il permis d'y	conduire vos pas	? Verrez -vous d'un même oeil le crime et l'innocence
Phèdre, 36	dédaigne ? Tu vois depuis quel temps il	évite nos pas	, Et cherche tous les lieux où nous ne sommes pas.
Phèdre, 11	. C'est vous qui sur ces bords	conduisîtes ses pas	. Vous daignâtes, Seigneur, à les rives de Trézène_Confier en
Phèdre, 20	Fuis, dis -je, et sans retour	précipitant tes pas	, De ton horrible aspect purge tous mes États. Et toi
Thébaïde, 4	cruels trépas, Sans jamais à le tombeau	précipiter mes pas	? Ô ciel ! que tes rigueurs seraient peu redoutables, Si
Thébaïde, 11	Jusques à le bord de le crime ils	conduisent nos pas	, Ils nous le font commettre, et ne l'excusent pas
