lemma	F	tc0093	tc0094	tc0096	tc0098	tc0101	tc0113	tc0114	tc0115	tc0116	tc0117	tc0118	tc0163	tc0165	tc0183	tc0189	tc0190	tc0193	tc0196	tc0200	tc0203	tc0204	tc0206	tc0207	tc0219	tc0221	tc0222	tc0224	tc0225	tc0226	tc0227	tc0628	tc0629	tc0630	tc0632	tc0636	tc0637	tc0645	tc0648	tc0649	tc0651	tc0653	tc0654	tc0655	tc0656	tc0657	tc0658	tc0659	tc0661	tc0664
ce lieu	446	24	26	0	11	8	15	19	20	24	11	17	3	2	0	9	5	1	16	4	3	1	17	2	0	4	3	2	4	0	2	2	12	8	6	8	11	13	19	10	12	11	11	10	13	8	12	12	9	6
ce cœur	192	4	7	0	0	0	8	4	1	3	4	0	9	5	4	2	4	3	3	12	0	15	0	10	5	5	3	8	7	11	9	6	1	1	4	0	1	1	0	8	1	1	1	5	2	1	1	7	3	2
ce jour	155	14	1	1	1	0	6	5	1	3	6	6	1	1	1	0	0	2	1	1	2	2	2	2	0	3	0	1	1	0	1	5	7	7	5	5	6	2	3	3	3	7	6	7	6	5	2	3	0	8
ce moment	133	1	1	1	1	1	4	7	6	6	6	9	2	0	2	2	4	4	0	1	0	0	0	1	0	1	2	1	0	0	1	3	2	6	5	0	1	0	0	1	1	1	7	16	5	2	3	11	3	2
ce amour	112	5	6	1	0	6	1	1	0	0	0	0	3	4	6	3	5	3	2	4	2	4	4	7	1	3	2	1	1	0	10	2	5	0	1	1	2	0	0	0	2	0	3	1	3	0	5	2	0	0
ce héros	90	0	0	0	0	2	1	6	0	3	4	0	0	2	1	7	5	6	9	1	0	0	0	0	0	0	0	0	0	1	0	0	2	10	3	0	3	0	4	7	0	0	3	0	0	1	3	2	3	1
ce fils	84	0	0	7	0	10	0	0	2	1	4	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3	0	5	10	8	0	0	5	0	2	0	0	0	0	0	7	3	0	0	1	0	0	6	1	6
ce prix	83	1	0	2	3	2	1	1	0	1	0	1	4	8	2	1	1	1	7	0	1	3	1	0	2	3	1	0	6	3	2	1	0	2	1	0	1	0	0	2	2	1	4	1	1	0	3	1	2	3
ce prince	80	1	1	3	0	1	0	0	6	9	2	0	3	2	0	0	6	3	3	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	7	0	0	0	0	7	1	0	1	2	1	2	1	1	1	10
ce hymen	77	10	1	1	0	2	0	0	0	3	0	0	1	0	1	2	3	2	0	1	2	0	0	0	1	4	3	9	4	3	6	2	2	0	1	1	1	0	1	0	1	0	0	2	0	0	3	3	0	1
ce palais	64	1	1	0	0	1	1	1	2	0	1	4	0	0	3	0	2	0	4	0	0	0	9	2	0	0	0	0	0	0	0	0	2	0	5	0	0	1	1	0	3	0	6	2	4	6	0	0	1	1
ce coup	63	0	1	3	2	5	0	1	1	1	2	3	0	2	2	2	0	0	1	2	0	2	0	1	2	1	3	2	0	0	2	2	2	0	0	0	3	1	0	0	0	3	0	2	6	1	1	0	0	1
ce dieu	63	1	18	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	1	0	1	9	0	0	1	8	2	0	3	0
ce nom	60	4	2	2	1	3	3	0	1	2	1	0	1	2	0	7	0	0	1	0	1	0	1	1	2	0	0	1	1	0	0	0	2	1	1	0	1	0	0	1	0	1	1	5	1	0	3	2	2	2
ce discours	57	3	1	3	2	4	0	3	1	4	1	1	0	0	1	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	3	0	0	0	0	1	1	0	4	2	2	0	4	5	2	1
ce choix	52	3	2	5	0	4	0	1	0	0	0	0	4	6	3	3	0	1	2	0	1	3	0	0	1	0	0	0	1	0	6	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
ce peuple	51	0	0	0	2	1	10	1	2	0	6	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	1	1	5	2	2	0	5	1	1	0	2
ce mot	44	0	0	2	2	0	0	0	3	0	2	0	1	2	0	5	1	5	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	2	1	2	0	0	2	2	1	3
ce ardeur	43	0	2	2	2	4	0	1	1	1	1	0	0	1	0	1	2	1	0	2	0	2	1	1	1	1	0	2	0	2	0	1	0	0	0	0	0	0	0	4	2	1	1	2	0	0	0	1	0	0
ce dessein	41	4	0	0	0	0	3	1	2	0	1	1	1	0	0	1	2	0	0	0	0	1	0	1	0	1	1	0	0	2	0	2	1	1	1	1	0	0	0	1	0	0	1	1	3	0	0	2	2	3
ce ordre	40	1	1	1	1	0	2	0	0	2	2	0	0	3	1	1	1	2	1	0	0	1	0	1	2	1	0	3	0	2	0	0	2	1	0	0	0	0	0	0	0	1	2	0	1	1	3	0	0	0
ce péril	38	3	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	1	0	2	1	2	0	3	2	2	0	1	0	3	1	0	0	0	0	0	1	2	3	0	0	0	1	1	2	0
ce crime	37	2	0	0	0	4	0	0	0	0	0	0	0	0	2	0	1	0	0	2	1	3	1	2	1	0	1	2	3	4	1	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ce deux	35	0	2	0	0	0	0	0	0	0	0	0	3	9	2	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	6	0	0	1	0	0	0	0	0	0	0	0	1
ce malheur	35	2	0	1	0	4	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	1	0	1	2	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	3	1	3	0	0	2	1	3
ce soin	35	2	2	1	0	0	1	3	1	1	2	0	0	0	2	0	1	0	1	2	2	2	0	0	2	0	2	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0
ce amant	34	0	11	0	1	3	1	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	2	1	0	0	3	1	0	0
ce feu	34	1	5	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	2	0	2	1	0	4	0	1	0	4	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0
ce trouble	34	2	0	0	0	2	2	1	0	0	0	2	0	0	0	0	0	1	0	2	4	2	0	0	1	2	0	1	1	0	3	0	1	0	1	0	0	1	0	1	0	0	2	0	0	0	0	2	0	0
ce état	33	0	3	1	1	6	0	2	1	1	1	1	0	0	0	0	3	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	4	0	0	0	0	0	0	1	0	0
ce rival	33	0	7	0	0	1	0	0	0	0	0	1	1	0	1	3	1	3	0	0	3	0	2	0	0	1	1	0	3	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ce roi	32	0	0	1	1	2	0	0	0	0	3	0	1	3	0	2	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	3	1	1	0	0
ce bruit	31	0	1	1	2	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	2	1	0	2	0	2	1	0	0	0	2	2	3	0
