form	F	tc0093	tc0094	tc0096	tc0098	tc0101	tc0113	tc0114	tc0115	tc0116	tc0117	tc0118	tc0163	tc0165	tc0183	tc0189	tc0190	tc0193	tc0196	tc0200	tc0203	tc0204	tc0206	tc0207	tc0219	tc0221	tc0222	tc0224	tc0225	tc0226	tc0227	tc0628	tc0629	tc0630	tc0632	tc0636	tc0637	tc0645	tc0648	tc0649	tc0651	tc0653	tc0654	tc0655	tc0656	tc0657	tc0658	tc0659	tc0661	tc0664
soins	581	17	15	13	8	5	26	27	17	18	36	18	2	10	6	10	4	5	8	9	11	14	12	6	7	8	11	7	13	13	15	8	8	4	8	7	11	15	12	20	17	9	24	13	18	7	12	6	8	3
soupirs	290	1	12	3	6	2	8	10	9	5	4	12	4	2	4	4	3	4	7	5	2	4	13	2	2	3	6	7	1	5	5	16	22	5	18	0	2	7	2	15	8	1	6	7	6	5	2	1	5	7
désirs	228	4	22	4	4	3	16	9	7	4	2	9	12	2	5	4	2	2	2	4	5	8	10	1	3	5	5	5	6	6	2	1	6	1	5	4	0	3	4	6	2	1	1	2	8	5	2	1	1	2
refus	228	2	0	4	3	1	0	8	3	1	0	3	9	15	8	8	4	8	6	4	5	16	7	2	5	6	3	17	18	13	3	6	1	1	5	0	10	1	0	2	7	2	2	2	2	0	2	2	1	0
mépris	220	6	0	3	2	2	2	6	0	3	3	5	8	8	7	6	4	5	10	4	2	12	7	3	5	6	1	10	13	13	13	5	0	2	2	1	6	1	1	6	9	0	3	2	5	0	1	3	2	2
alarmes	180	1	2	4	2	2	4	5	4	5	6	4	1	1	1	1	2	1	4	3	5	1	8	6	0	2	0	3	3	5	3	6	6	7	8	1	2	6	8	5	7	6	1	5	6	4	5	3	3	2
ennuis	131	4	0	1	2	0	2	0	2	2	2	5	2	3	1	2	2	3	1	10	3	1	10	4	6	2	12	1	7	3	7	0	1	0	2	1	3	2	0	2	4	0	0	0	2	3	3	4	2	2
fureurs	130	9	2	7	3	9	4	5	2	5	4	1	0	4	3	2	1	2	4	0	1	2	4	2	2	0	3	1	0	0	4	3	1	1	5	0	0	0	3	0	1	3	4	2	1	0	8	5	6	1
souhaits	121	2	1	1	2	0	1	4	1	3	0	3	4	5	5	2	5	4	2	3	0	5	9	3	4	7	11	3	1	2	4	0	1	5	1	0	2	0	0	1	0	0	1	2	2	0	1	4	0	4
attraits	78	1	0	0	3	0	1	1	0	0	0	0	2	4	2	1	0	4	4	0	0	0	3	0	1	0	0	0	1	0	0	0	2	0	2	7	0	8	10	3	5	1	5	1	0	3	1	1	0	1
amours	68	1	13	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	19	0	0	0	2	3	3	1	1	3	3	0
respects	53	2	1	3	1	0	1	0	1	2	0	0	0	4	1	3	0	4	1	0	0	0	0	0	1	1	0	0	1	3	0	3	0	0	0	3	0	0	0	2	2	0	6	2	0	1	2	0	0	2
flammes	42	1	7	2	1	1	0	0	0	0	0	1	2	2	1	2	0	1	1	0	0	0	4	1	1	0	1	0	0	2	0	0	2	0	0	0	0	2	0	0	0	2	0	2	0	0	2	0	1	0
