form	F	tc0093	tc0094	tc0096	tc0098	tc0101	tc0113	tc0114	tc0115	tc0116	tc0117	tc0118	tc0163	tc0165	tc0183	tc0189	tc0190	tc0193	tc0196	tc0200	tc0203	tc0204	tc0206	tc0207	tc0219	tc0221	tc0222	tc0224	tc0225	tc0226	tc0227	tc0628	tc0629	tc0630	tc0632	tc0636	tc0637	tc0645	tc0648	tc0649	tc0651	tc0653	tc0654	tc0655	tc0656	tc0657	tc0658	tc0659	tc0661	tc0664
ce_que j' aime	78	2	7	8	0	2	1	1	2	2	0	2	0	2	2	1	0	3	0	3	2	1	2	3	1	2	2	1	0	1	1	0	3	0	1	4	4	0	6	0	0	0	0	3	0	1	0	1	0	1
ce_que je puis	35	0	0	0	0	0	0	0	2	0	0	0	0	2	1	2	1	2	1	1	2	1	4	2	3	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	2	1	1	0	0	1	0	1
ce_que je dois	29	1	2	0	1	0	0	0	0	2	0	0	0	0	2	2	1	1	1	1	2	2	1	2	2	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
est ce_que	28	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	3	0	1	2	0	0	0	0	3	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	3
ce_que je veux	27	1	0	0	0	2	0	1	0	0	0	0	1	0	1	2	0	2	0	2	0	2	0	0	2	0	0	1	1	1	1	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1
ce_que peut	27	0	2	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	2	2	1	1	0	1	4	2	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
sais ce_que	26	1	2	1	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	2	2	2	1	2	1	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
est tout ce_que	23	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	2	0	1	1	0	2	1	2	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1
ce_que je suis	19	0	2	0	0	1	0	0	0	0	0	0	0	2	1	2	2	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0
fait ce_que	18	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	1	1	0	1	0	0	0	0	3	2	0	1	0	1	0	0	0
ce_que je vois	15	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
fais ce_que	15	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0
ce_que c' est	13	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ce_que je viens	13	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
voir ce_que	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
vois ce_que	12	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ce_que j' ai	10	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
perdant ce_que	10	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ce_que je pense	9	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ce_que je perds	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ce_que je fais	7	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ce_que je crains	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ce_que veut	6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ce_que vous êtes	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
est pas ce_que	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ce_que j' aimais	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ce_que j' entends	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ce_que j' ose	5	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
