	patternID	MeanP1	MeanP2	MeanRatio12	MeanRatioAbs	MedianP1	MedianP2	MedianRatio12	Welch	Wilcoxon	Kolmogorov
K1	K1	1.627167166702361	2.9921278144074237	0.5438160625598728	0.4561839374401272	1.616118084361364	2.8499573106706233	0.5670674709107852	3.867098174097032e-06	0.0014380398755619468	0.00023733188746644096
F4b	F4b	0.14988444098471307	0.2270302781372353	0.6601958215349097	0.33980417846509026	0.1616118084361364	0.17435246637283988	0.9269258519766059	0.10249705484204316	0.30284444399934707	0.49568486778103027
C2a	C2a	0.8123086730179345	0.5632416139145461	1.44220287163788	0.4422028716378801	0.82904990880451	0.5671738419534382	1.4617209883031825	0.044189317335393365	0.029219384866648705	0.0681643907473033
G7e	G7e	0.3238677624940816	0.37011983519912367	0.875034871668229	0.12496512833177098	0.3411998862667046	0.3440967141856274	0.9915813554753219	0.5408765075174644	0.6317722839808395	0.46487155036669936
J3a	J3a	0.47525898557322926	0.5217072280574511	0.9109687579827501	0.08903124201724988	0.5387060281204546	0.35233508650969236	1.5289593592613884	0.693516603680217	0.5332818999878315	0.34053778786628974
F6d	F6d	0.6026801728596731	0.4953008195547386	1.2167962358699458	0.21679623586994579	0.5686664771111742	0.47963457951502675	1.1856244345107771	0.17610731339881186	0.16459626082047452	0.13896430729390608
C1a	C1a	1.4953424335963599	1.4967013621471192	0.9990920509694727	0.0009079490305272664	1.371562928613415	1.528937003343173	0.8970696147816328	0.9948037753960978	0.6148268070845364	0.6827267608734229
G1c	G1c	1.3339047708127365	1.6845311971441774	0.791855189785868	0.208144810214132	1.1976047904191616	1.6040267497441687	0.7466239516346627	0.08493693201490622	0.044137555637092256	0.015141643804938654
F2a	F2a	1.7049244064513145	1.5495445196315292	1.1002745547806079	0.10027455478060787	1.8160149821236027	1.361809407149933	1.333530942425284	0.3484319656310022	0.23088408514416492	0.18070557851325963
A2	A2	0.24690264039864565	0.20060361440889926	1.2307985632455507	0.2307985632455507	0.22965628109928807	0.1750630426888572	1.3118490206087756	0.371835640141306	0.42909816109859056	0.6079267896882778
F2b	F2b	1.7049244064513145	1.5495445196315292	1.1002745547806079	0.10027455478060787	1.8160149821236027	1.361809407149933	1.333530942425284	0.3484319656310022	0.23088408514416492	0.18070557851325963
B1	B1	7.710441301308761	6.574962501277189	1.172697380374303	0.17269738037430304	7.918978613370684	6.309046577317505	1.255178340549697	0.07869083008150039	0.07620133639618838	0.13896430729390608
F5	F5	1.453310239322594	1.5414464130225596	0.9428224212306082	0.05717757876939178	1.454489780295491	1.6021089779959716	0.9078594529292187	0.7097550570924498	0.6662426497662313	0.8312829615702249
K8	K8	0.6563994309496198	0.6657711154543001	0.9859235639891878	0.01407643601081221	0.7244357759821677	0.6538631869489988	1.1079317362419336	0.9276044313051918	0.9046348804461668	0.697888060624473
G9	G9	0.5208062236298111	0.6983389741210783	0.7457785444208299	0.2542214555791701	0.398066533977822	0.6458907910058065	0.6163062541297022	0.10464031777795876	0.11377023239413082	0.09493115424749932
B2a	B2a	0.5687300067052979	0.48208521221372974	1.1797292103026744	0.1797292103026744	0.5918751681463545	0.3518011612600491	1.6824139125055932	0.2782969402519861	0.24034580067187272	0.05734960990619642
B2c	B2c	0.33344355867592984	0.2826485744614975	1.1797107390667365	0.1797107390667365	0.3868899574421047	0.21270561369088664	1.8188986680725858	0.4396853940437687	0.3258883637864183	0.07112529515883181
G2	G2	0.5375050659546766	0.7995300483602412	0.6722762541074282	0.3277237458925718	0.44122281752284903	0.7054652216785379	0.6254352503398791	0.049224298646347586	0.025851364886099713	0.018754870725489425
F1a	F1a	2.739948916863229	3.0770575483120153	0.8904444827063378	0.1095555172936622	2.5262190920921688	2.9277016949241186	0.8628676536524722	0.2713391022846562	0.3753036647597764	0.3527772253279017
F7c	F7c	1.0288511577154769	0.7944073864559182	1.295117813924829	0.29511781392482894	1.0085092971950835	0.7037795179080089	1.4329904061268461	0.03722929332630339	0.06859339210425792	0.013988992565289848
J2b	J2b	0.04468196042188018	0.07175829934391982	0.6226730682607714	0.3773269317392286	0.05380683346785042	0.046363749420573475	1.1605367154013817	0.30946858919313347	0.9236422730909106	0.949723781372548
F3c	F3c	0.8759617073502707	1.4108471818537711	0.6208763915898384	0.37912360841016157	0.8358874338255781	1.4391478792871244	0.5808210857690476	0.0016938951337366372	0.010350305193623018	0.018217281865812396
E3b	E3b	0.04865569536479162	0.043079882376287036	1.1294296242154886	0.12942962421548865	0.0	0.04612979931773223	2.167796120020886e-10	0.8192718771816361	0.7282573823042993	0.7097634036500675
G10b	G10b	7.7360408355121715	7.0025193693851575	1.1047510799231637	0.10475107992316368	8.302530565823144	5.838948976496296	1.421922095781169	0.4224733777734505	0.31422749220417523	0.36677827984438627
